"TÍTULO DEL PROYECTO",INSTITUCIÓN,"NOMBRE COLABORADOR","NIVEL S.N.I. COLABORADOR","INSTITUCIÓN COLABORADOR",ESPECIALIDAD
"INTERVENCIÓN FISICO-COGNITIVA PARA MEJORAR VELOCIDAD Y OTRAS CARACTERÍSTICAS DE LA  MARCHA ANTE TAREAS CONCURRENTES EN ADULTOS MAYORES DEL ÁREA METROPOLITANA DE MONTERREY.","UNIVERSIDAD AUTONOMA DE NUEVO LEON","ANNE SHUMWAY-COOK",,"DEPARTMENT OF REHABILITATION MEDICINE. UNIVERSITY OF WASHINGTON, SEATLE.",
"ANALISIS MOLECULAR DE GENES RELACIONADOS CON EL DESARROLLO DE LA ENFERMEDAD DE PARKINSON EN PACIENTES DEL NORESTE DE MEXICO","UNIVERSIDAD AUTONOMA DE NUEVO LEON","LAURA ELIA MARTINEZ GARZA",,"UNIVERSIDAD AUTONOMA DE NUEVO LEON",MORFOLOGIA
"APLICACIÓN DE ESTRATEGIAS MOLECULARES BASADAS EN LA AMPLIFICACIÓN DE ÁCIDOS NUCLEICOS PARA LA CARACTERIZACIÓN, DETECCIÓN Y TAMIZAJE DE PATÓGENOS VIRALES TRANSMITIDOS POR SANGRE.","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","CHRISTIAN ALBERTO GARCIA SEPULVEDA","Nivel 1","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","CARACTERIZACIÓN GENÓMICA Y EPIDEMIOLOGÍA MOLECULAR"
"EVALUACIÓN DE LA CONTAMINACIÓN POR HIDROCARBUROS POLICÍCLICOS AROMÁTICOS EN LAS HOJAS DE LOS ÁRBOLES.","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","BERTHA IRENE JUAREZ FLORES",,"UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI",FITOQUÍMICA
"APLICACIÓN DE ESTRATEGIAS MOLECULARES BASADAS EN LA AMPLIFICACIÓN DE ÁCIDOS NUCLEICOS PARA LA CARACTERIZACIÓN, DETECCIÓN Y TAMIZAJE DE PATÓGENOS VIRALES TRANSMITIDOS POR SANGRE.","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI","DANIEL ERNESTO NOYOLA CHERPITEL","Nivel 2","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI",
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO,  FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN","UNIVERSIDAD AUTONOMA DE YUCATAN","RUBÉN CÁMARA VALLEJO",,"UADY, FACULTAD DE MEDICINA","ANTROPOLOGÍA MÉDICA"
"VARIABILIDAD GENÉTICA DE LOS  PAPILOMAVIRUS TIPO 58","UNIVERSIDAD AUTONOMA DE YUCATAN","LAURA CONDE FERRAEZ",,"UNIVERSIDAD AUTONOMA DE YUCATAN",
"FRECUENCIA DE GENOTIPOS SUSCEPTIBLES DEL GEN PARAOXONASA 1 EN PACIENTES YUCATECOS CON GLIOMA Y HETEROCIGOSIDAD DE LAS REGIONES CROMOSÓMICAS 1P36 Y 19Q13.","UNIVERSIDAD AUTONOMA DE YUCATAN","DAVID ALONSO OAXACA CASTILLO",,"UNIVERSIDAD AUTONOMA DE YUCATAN","BIOQUÍMICA, BIOLOGIA CELULAR Y MOLECULAR"
"FRECUENCIA DE GENOTIPOS SUSCEPTIBLES DEL GEN PARAOXONASA 1 EN PACIENTES YUCATECOS CON GLIOMA Y HETEROCIGOSIDAD DE LAS REGIONES CROMOSÓMICAS 1P36 Y 19Q13.","UNIVERSIDAD AUTONOMA DE YUCATAN","GERARDO JOSE PEREZ MENDOZA",,"UNIVERSIDAD AUTONOMA DE YUCATAN","CIENCIAS DE LA SALUD"
"EDUCACIÓN PARA LA PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS (ETAS): EVALUACIÓN DE CONOCIMIENTOS SANITARIOS E IMPLEMENTACIÓN DE UNA ESTRATEGIA EDUCATIVA CON MANIPULADORES DE ALIMENTOS PARA PREVENIR ETAS EN LA CIUDAD DE MÉRIDA, YUCATÁN.","UNIVERSIDAD AUTONOMA DE YUCATAN","JOSÉ FRANCO MONSREAL",,"UNIVERSIDAD AUTÓNOMA DE YUCATÁN","EN CIENCIAS MÉDICAS, EPIDEMIOLOGÍA"
"FRECUENCIA DE GENOTIPOS SUSCEPTIBLES DEL GEN PARAOXONASA 1 EN PACIENTES YUCATECOS CON GLIOMA Y HETEROCIGOSIDAD DE LAS REGIONES CROMOSÓMICAS 1P36 Y 19Q13.","UNIVERSIDAD AUTONOMA DE YUCATAN","JORGE ANTONIO CANTO HERRERA",,"UNIVERSIDAD AUTONOMA DE YUCATAN",CITOGENÉTICA
"EDUCACIÓN PARA LA PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS (ETAS): EVALUACIÓN DE CONOCIMIENTOS SANITARIOS E IMPLEMENTACIÓN DE UNA ESTRATEGIA EDUCATIVA CON MANIPULADORES DE ALIMENTOS PARA PREVENIR ETAS EN LA CIUDAD DE MÉRIDA, YUCATÁN.","UNIVERSIDAD AUTONOMA DE YUCATAN","MIGUEL ÁNGEL PUC FRANCO",,"UNIVERSIDAD DE YUCATÁN",
"EDUCACIÓN PARA LA PREVENCIÓN DE ENFERMEDADES TRANSMITIDAS POR ALIMENTOS (ETAS): EVALUACIÓN DE CONOCIMIENTOS SANITARIOS E IMPLEMENTACIÓN DE UNA ESTRATEGIA EDUCATIVA CON MANIPULADORES DE ALIMENTOS PARA PREVENIR ETAS EN LA CIUDAD DE MÉRIDA, YUCATÁN.","UNIVERSIDAD AUTONOMA DE YUCATAN","JAVIER JESÚS FLORES ABUXAPQUI",,"UNIVERSIDAD AUTÓNOMA DE YUCATÁN",
"ESTUDIO IN VIVO E IN VITRO DEL EFECTO ANTITUMORAL DE PROBIOTICOS EN CANCER DE COLON CON EL USO DE POLIAMINAS COMO BIOMARCADORES DEL DESARROLLO NEOPLASICO","UNIVERSIDAD DE GUADALAJARA","LUZ PATRICIA CASTRO FELIX",,"UNIVERSIDAD DE GUADALAJARA",
"ANÁLISIS DE LOS POLIMORFISMOS EN LOS GENES, RO, IL-10 Y FCGIIB EN SÍNDROME DE SJÖGREN. ASOCIACIÓN CON NIVELES SOLUBLES, RNAM, AUTOANTICUERPOS Y SEVERIDAD CLÍNICA.","UNIVERSIDAD DE GUADALAJARA","JOSE FRANCISCO MUÑOZ VALLE","Nivel 1","UNIVERSIDAD DE GUADALAJARA",AUTOINMUNIDAD
"EVALUACIÓN DE LAS CÉLULAS T CD8+ NKT-LIKE DE SANGRE PERIFÉRICA Y CAMBIOS CITOPATICOS VIRALES EN CITOLOGÍAS CERVICALES.","UNIVERSIDAD DE GUADALAJARA","OSCAR PERALTA ZARAGOZA","Nivel 1","INSTITUTO NACIONAL DE SALUD PUBLICA","TERAPIA GÉNICA"
"ESTUDIO IN VIVO E IN VITRO DEL EFECTO ANTITUMORAL DE PROBIOTICOS EN CANCER DE COLON CON EL USO DE POLIAMINAS COMO BIOMARCADORES DEL DESARROLLO NEOPLASICO","UNIVERSIDAD DE GUADALAJARA","ANNE HELENE MARGUERITE SANTERRE LUCAS",,"UNIVERSIDAD DE GUADALAJARA","MARCADORES MOLECULARES"
"ANÁLISIS DE LOS POLIMORFISMOS EN LOS GENES, RO, IL-10 Y FCGIIB EN SÍNDROME DE SJÖGREN. ASOCIACIÓN CON NIVELES SOLUBLES, RNAM, AUTOANTICUERPOS Y SEVERIDAD CLÍNICA.","UNIVERSIDAD DE GUADALAJARA","ROSA ELENA NAVARRO HERNANDEZ",Candidato,"UNIVERSIDAD DE GUADALAJARA",
"EVALUACIÓN DE LAS CÉLULAS T CD8+ NKT-LIKE DE SANGRE PERIFÉRICA Y CAMBIOS CITOPATICOS VIRALES EN CITOLOGÍAS CERVICALES.","UNIVERSIDAD DE GUADALAJARA","MARIA LUISA PITA LOPEZ",,"UNIVERSIDAD DE GUADALAJARA","LINFOCITOS T CD8+ E INMUNOSENESCENCIA"
"ESTUDIO IN VIVO E IN VITRO DEL EFECTO ANTITUMORAL DE PROBIOTICOS EN CANCER DE COLON CON EL USO DE POLIAMINAS COMO BIOMARCADORES DEL DESARROLLO NEOPLASICO","UNIVERSIDAD DE GUADALAJARA","JOSEFINA CASAS SOLIS",Candidato,"UNIVERSIDAD DE GUADALAJARA",
"ESTUDIO IN VIVO E IN VITRO DEL EFECTO ANTITUMORAL DE PROBIOTICOS EN CANCER DE COLON CON EL USO DE POLIAMINAS COMO BIOMARCADORES DEL DESARROLLO NEOPLASICO","UNIVERSIDAD DE GUADALAJARA","MARIA DEL ROSARIO HUIZAR LOPEZ",,"UNIVERSIDAD DE GUADALAJARA",
"VALOR PRONOSTICO Y TERAPEUTICO DE LA PROLACTINA Y DE LAS VASOINHIBINAS EN LA RETINOPATIA DIABETICA","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","GABRIEL NAVA PINTO",,"INSTITUTO DE NEUROBIOLOGÍA, UNAM","EXPRESIÓN DE ÁCIDOS NUCLEICOS Y PROTEÍNAS"
"VALOR PRONOSTICO Y TERAPEUTICO DE LA PROLACTINA Y DE LAS VASOINHIBINAS EN LA RETINOPATIA DIABETICA","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","STEPHANIE THEBAULT",,"INSTITUTO DE NEUROBIOLOGÍA, UNAM","FISIOLOGÍA CELULAR"
"VALOR PRONOSTICO Y TERAPEUTICO DE LA PROLACTINA Y DE LAS VASOINHIBINAS EN LA RETINOPATIA DIABETICA","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","GONZALO MARTINEZ DE LA ESCALERA LORENZO","Nivel 3","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO",NEUROENDOCRINOLOGÍA
"VALOR PRONOSTICO Y TERAPEUTICO DE LA PROLACTINA Y DE LAS VASOINHIBINAS EN LA RETINOPATIA DIABETICA","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","FERNANDO LÓPEZ BARRERA",,"INSTITUTO DE NEUROBIOLOGÍA, UNAM",NUTRICIÓN
"EFECTOS ANTIHIPERPLASICOS DEL YODO MOLECULAR (I2) EN PACIENTES CON HIPERPLASIA PROSTÁTICA BENIGNA","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA","CARMEN YOLANDA ACEVES VELASCO","Nivel 2","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO",
"EFECTOS ANTIHIPERPLASICOS DEL YODO MOLECULAR (I2) EN PACIENTES CON HIPERPLASIA PROSTÁTICA BENIGNA","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA","ROCIO BRENDA ANGUIANO SERRANO","Nivel 1","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO",
"EFECTOS ANTIHIPERPLASICOS DEL YODO MOLECULAR (I2) EN PACIENTES CON HIPERPLASIA PROSTÁTICA BENIGNA","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE INVESTIGACION CIENTIFICA","OSIEL LEDEZMA JUAREZ",,"UNIVERSIDAD MICHOACAN DE SAN NICOLÁS DE HIDALGO",
"EXPRESIÓN GENÉTICA DE METALOPROTEASAS DE MATRIZ EXTRACELULAR Y SUS INHIBIDORES COMO MARCADORES MOLECULARES EN ÚLCERA PÉPTICA Y CÁNCER GÁSTRICO","UNIVERSIDAD VERACRUZANA","CARMEN SOL DE LA PEÑA CRUZ",,"INSTITUTO DE SALUD PÚBLICA, UNIVERSIDAD VERACRUZANA",BIOQUÍMICA
"EXPRESIÓN GENÉTICA DE METALOPROTEASAS DE MATRIZ EXTRACELULAR Y SUS INHIBIDORES COMO MARCADORES MOLECULARES EN ÚLCERA PÉPTICA Y CÁNCER GÁSTRICO","UNIVERSIDAD VERACRUZANA","DYLAN RICHARD EDWARDS NO APLICA",,"UNIVERSIT Y OF EAST ANGLIA (BIOMEDICAL RESEARCH CENTRE)","REGULACIÓN DE LA EXPRESIÓN GENÉTICA DE PROTEASAS Y SUS INHIBIDORES"
"EXPRESIÓN GENÉTICA DE METALOPROTEASAS DE MATRIZ EXTRACELULAR Y SUS INHIBIDORES COMO MARCADORES MOLECULARES EN ÚLCERA PÉPTICA Y CÁNCER GÁSTRICO","UNIVERSIDAD VERACRUZANA","ROBERTO ZENTENO CUEVAS","Nivel 1","INSTITUTO DE SALUD PÚBLICA, UNIVERSIDAD VERACRUZANA","ANÁLISIS DE DROGORESISTENCIA MEDIANTE PCR EN TIEMPO REAL"
"CAPACIDAD DE AFILIACIÓN DE LAS FAMILIAS DE MIGRANTES A UN ESQUEMA DE SEGURO DE SALUD","INSTITUTO NACIONAL DE SALUD PUBLICA","LETICIA DEL SOCORRO AVILA BURGOS","Nivel 2","INSTITUTO NACIONAL DE SALUD PUBLICA",
"ANÁLISIS COSTO-EFECTIVIDAD DE LAS ALTERNATIVAS FARMACOLÓGICAS PARA LA DESHABITUACIÓN TABÁQUICA EN MÉXICO","INSTITUTO NACIONAL DE SALUD PUBLICA","MÓNICA ARANTXA COLCHERO ARAGONÉS","Nivel 1","INSTITUTO NACIONAL DE SALUD PÚBLICA","ECONOMÍA DE LA SALUD"
"ANÁLISIS COSTO-EFECTIVIDAD DE LAS ALTERNATIVAS FARMACOLÓGICAS PARA LA DESHABITUACIÓN TABÁQUICA EN MÉXICO","INSTITUTO NACIONAL DE SALUD PUBLICA","STEFANO M BERTOZZI KENEFICK","Nivel 2","INSTITUTO NACIONAL DE SALUD PÚBLICA","ECONOMÍA DE LA SALUD"
"ANÁLISIS COSTO-EFECTIVIDAD DE LAS ALTERNATIVAS FARMACOLÓGICAS PARA LA DESHABITUACIÓN TABÁQUICA EN MÉXICO","INSTITUTO NACIONAL DE SALUD PUBLICA","ERIKA ITZEL RIVAS OROPEZA",,"INSTITUTO NACIONAL DE SALUD PÚBLICA","ECONOMÍA DE LA SALUD"
"ANÁLISIS COSTO-EFECTIVIDAD DE LAS ALTERNATIVAS FARMACOLÓGICAS PARA LA DESHABITUACIÓN TABÁQUICA EN MÉXICO","INSTITUTO NACIONAL DE SALUD PUBLICA","ILEANA BEATRÍZ HEREDIA PI",,"INSTITUTO NACIONAL DE SALUD PÚBLICA","ECONOMÍA DE LA SALUD"
"ANÁLISIS DE COSTOS Y CALIDAD DE VIDA EN PACIENTES FRACTURADOS CON OSTEOPOROSIS EN MÉXICO","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","FERNANDO CARLOS RIVERA",,IMSS,"MAESTRO EN ECONOMIA DE LA SALUD"
"CAPACIDAD DE AFILIACIÓN DE LAS FAMILIAS DE MIGRANTES A UN ESQUEMA DE SEGURO DE SALUD","INSTITUTO NACIONAL DE SALUD PUBLICA","LUZ MARÍA GONZALEZ ROBLEDO",,"INSTITUTO NACIONAL DE SALUD PUBLICA","EVALUACIÓN DE POLÍTICAS PÚBLICAS"
"LA INFLUENCIA DE LA MIGRACIÓN TRANSNACIONAL EN LA SOLUCIÓN DE PROBLEMAS DE SALUD DE HABITANTES DE ZONAS RURALES DE MÉXICO CON ALTA MIGRACIÓN A CHICAGO.","INSTITUTO NACIONAL DE SALUD PUBLICA","TONATIUH TOMÁS GONZÁLEZ VÁZQUEZ",,"INSTITUTO NACIONAL DE SALUD PUBLICA","MIGRACION MEX-EU Y SALUD, ANCIANOS Y SALUD, PARTICIPACION SOCIAL ORGANIZADA Y SALUD"
"MODELO DE PREVENCIÓN DE ITS/VIH/SIDA PARA POBLACIÓN MIGRANTE EN TRÁNSITO: RÁPIDA MOVILIDAD Y  RÁPIDA RESPUESTA DEL SISTEMA DE ATENCIÓN EN SALUD.","INSTITUTO NACIONAL DE SALUD PUBLICA","FLORENZO RIGONI",,"CASA DEL MIGRANTE",TEOLOGÍA
"PARTICIPACIÓN DEL COMPLEJO DE ADHESIÓN VÍA B-1 INTEGRINA DE OSTEOBLASTOS HUMANOS DIFERENCIADOS A PARTIR DE CELULAS MADRE DE MEMBRANA AMNIOTICA EN EL PROCESO DE ADHESIÓN A UNA MATRIZ. POTENCIAL APLICACIÓN EN INGENIERÍA DE TEJIDOS ÓSEOS","HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ","MARIA CRISTINA PIÑA BARBA","Nivel 2","UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO",
"PREVENCIÓN TEMPRANA DE HIPERTENSIÓN ARTERIAL. ESTUDIO MULTICÉNTRICO Y MULTIDISCIPLINARIO. PRIMERA FASE: INTEGRACIÓN DE UNA COHORTE DE SUJETOS DE ALTO RIESGO PARA EL DESARROLLO DE HIPERTENSIÓN. (GEMPHI)","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","MARCOS INTAGLETTA I",,"UNIVERSIDAD DE CALIFORNIA DE SAN DIEGO",BIOMECANICA
"DISEÑO, DESARROLLO Y EVALUACIÓN DE UN DISPOSITIVO DE ESTIMULACIÓN MECÁNICA EXTERNA PARA LA ACELERACIÓN DE LA CONSOLIDACIÓN EN FRACTURAS ÓSEAS.","INSTITUTO NACIONAL DE REHABILITACION","VICTOR MANUEL DOMINGUEZ HERNANDEZ",,"SECRETARIA DE SALUD","ANALISIS DE ESFUERZOS, ANALISIS POR ELEMENTO FINITO."
"DISEÑO, DESARROLLO Y EVALUACIÓN DE UN DISPOSITIVO DE ESTIMULACIÓN MECÁNICA EXTERNA PARA LA ACELERACIÓN DE LA CONSOLIDACIÓN EN FRACTURAS ÓSEAS.","INSTITUTO NACIONAL DE REHABILITACION","VICTOR MANUEL ARAUJO MONSALVO",,"CENTRO NACIONAL DE REHABILITACION","ANALISIS POR ELEMENTO FINITO."
"SECUENCIACIÓN  DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","SANDRA ROMERO HIDALGO",Candidato,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ACTUARIO EGRESADA DE LA UNAM, DOCTORADO EN METODOLOGÍA ESTADÍSITCA APLICADA A DATOS GENÉTICOS"
"ASOCIACIÓN DE POLIMORFISMOS DE UN SOLO NUCLEÓTIDO EN GENES CANDIDATOS AL DESARROLLO DE DIABETES Y OBESIDAD EN UNA POBLACIÓN DERECHOHABIENTE DEL ISSSTE","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","SANDRA ROMERO HIDALGO",Candidato,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ESTADÍSTICA APLICADA A DATOS GENÉTICOS"
"COMPARACIÓN DE LA FRECUENCIA DE POLIMORFISMOS GENÉTICOS ASOCIADOS A OBESIDAD, DISLIPIDEMIA, SÍNDROME METABÓLICO Y DIABETES MELLITUS EN 2 POBLACIONES INDÍGENAS DE BAJA PREVALENCIA VERSUS 2 POBLACIONES MESTIZAS DE ALTA PREVALENCIA.","INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","SANDRA ROMERO HIDALGO",Candidato,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ESTADÍSTICA APLICADA A DATOS MEDICINA GENÓMICA."
"DETERMINACION DE LA CAPACIDAD DE QUANTIFERON PARA IDENTIFICAR CONVERSION A TUBERCULOSIS ACTIVA EN CONTACTOS INTRAFAMILIARES","INSTITUTO MEXICANO DEL SEGURO SOCIAL - FONDO PARA EL FOMENTO A LA INVESTIGACION MEDICA","JOEL MONARREZ ESPINO","Nivel 1","INSTITUTO MEXICANO DEL SEGURO SOCIAL",
"OBESIDAD Y EMBARAZO: RIESGO DE COMPLICACIONES PERINATALES ASOCIADAS A CAMBIOS LONGITUDINALES EN LA ADIPOSIDAD Y EL ESTRÉS OXIDATIVO.","INSTITUTO NACIONAL DE PERINATOLOGIA","FELIPE DE JESUS PERAZA GARAY",Candidato,"UNIVERSIDAD AUTONOMA DE SINALOA",
"OBESIDAD EN ADOLESCENTES Y SU IMPACTO SOBRE LA SALUD Y RESPUESTA INFLAMATORIA: UN ESTUDIO DE INTERVENCION.","INSTITUTO NACIONAL DE SALUD PUBLICA","MARIA CONSUELO ESCAMILLA NUÑEZ",,"INSTITUTO NACIONAL DE SALUD PUBLICA",BIOESTADISTICA
"BIOMARCADORES GENÓMICOS DE PREDICCIÓN DE RIESGO EN CÁNCER CERVICOUTERINO","UNIVERSIDAD AUTONOMA DE NUEVO LEON","OLIVIA MARICELA BARRON CANO",,"INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY","DOCTORADO EN INTELIGENCIA ARTIFICIAL"
"IMPACTO DE LA DEFICIENCIA DE MICRONUTRIMENTOS EN LA PREVALENCIA DE MORBILIDAD Y DESARROLLO NEURCOGNITIVO DE NIÑOS CON SOBREPESO Y OBESIDAD","UNIVERSIDAD AUTONOMA DE QUERETARO.","MARÍA DEL CARMEN CAAMAÑO PEREZ",,"UNIVERSIDAD AUTÓNOMA DE QUERÉTARO",
"EVALUACIÓN DEL EFECTO DE LA EXPOSICIÓN AMBIENTAL A PAHS SOBRE EL DAÑO AL ADN Y LA PARTICIPACIÓN DE FACTORES GENÉTICOS DE SUSCEPTIBILIDAD EN UNA POBLACIÓN INFANTIL DE COATZACOALCOS, VERACRUZ","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","LETICIA HERNANDEZ CADENA","Nivel 1","INSTITUTO NACIONAL DE SALUD PUBLICA",
"EVALUACIÓN DEL EFECTO DE LA EXPOSICIÓN AMBIENTAL A PAHS SOBRE EL DAÑO AL ADN Y LA PARTICIPACIÓN DE FACTORES GENÉTICOS DE SUSCEPTIBILIDAD EN UNA POBLACIÓN INFANTIL DE COATZACOALCOS, VERACRUZ","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","MARCO ANTONIO SANCHEZ GUERRA",,"CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN",
"EVALUACIÓN DEL EFECTO DE LA EXPOSICIÓN AMBIENTAL A PAHS SOBRE EL DAÑO AL ADN Y LA PARTICIPACIÓN DE FACTORES GENÉTICOS DE SUSCEPTIBILIDAD EN UNA POBLACIÓN INFANTIL DE COATZACOALCOS, VERACRUZ","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","LUIS FERNANDO OROPEZA HERNANDEZ","Nivel 1","PETROLEOS MEXICANOS",
"EVALUACIÓN DEL EFECTO DE LA EXPOSICIÓN AMBIENTAL A PAHS SOBRE EL DAÑO AL ADN Y LA PARTICIPACIÓN DE FACTORES GENÉTICOS DE SUSCEPTIBILIDAD EN UNA POBLACIÓN INFANTIL DE COATZACOALCOS, VERACRUZ","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","FERNANDO DIAZ-BARRIGA MARTINEZ","Nivel 2","UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI",
"EVALUACIÓN DEL EFECTO DE LA EXPOSICIÓN AMBIENTAL A PAHS SOBRE EL DAÑO AL ADN Y LA PARTICIPACIÓN DE FACTORES GENÉTICOS DE SUSCEPTIBILIDAD EN UNA POBLACIÓN INFANTIL DE COATZACOALCOS, VERACRUZ","CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL I.P.N.","NADIA AZENET PELALLO MARTINEZ",,"UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI",
"SECUENCIACIÓN  DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","MARIA DEL CARMEN CHIMA GALAN",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ESPECIALISTA EN PEDIATRÍA Y GENÉTICA MEDICA"
"SECUENCIACIÓN  DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","MARTHA OROZCO QUIYONO",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","GENÉTICA MÉDICA Y MEDICINA INTERNA"
"SECUENCIACIÓN  DE LOS GENES BRCA1 Y BRCA2 E IDENTIFICACIÓN DE LAS PROBABLES MUTACIONES DE LOS CASOS CON CÁNCER DE MAMA Y OVARIO HEREDITARIO (CMOH) EN UNA MUESTRA DE LA POBLACIÓN MEXICANA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","AURA ARGENTINA ERAZO VALLE SOLIS",,"INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO","ONCOLOGÍA MÉDIA"
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","SILVIA GARCIA",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","NEUROLOGIA CLINICA"
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","ANTONIO ZARATE MENDEZ",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE",NEUROCIRUGIA
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","BERTIN MARTINEZ SILVA",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE",NEUROCIRUGIA
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","LUCINO CASTILLO RUEDA",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE",NEUROCIRUGIA
"NEUROESTIMULACIÓN CEREBRAL PROFUNDA DEL NÚCLEO ACCUMBENS EN EL TRATAMIENTO DE LA DEPRESIÓN REFRACTARIA","CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE","MANUEL HERNANDEZ SALAZAR",,"CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE",NEUROCIRUGIA
