"TITULO DEL PROYECTO",INSTITUCIÓN,"RESPONSABLE TÉCNICO","NIVEL S.N.I.",DEMANDA
"IDENTIFICACION DE BIOMARCADORES ANTIANGIOGENICOS COMO REGULADORES DE LA MADURACIÓN CONDRAL Y SU POSIBLE PAPEL EN LA REPARACIÓN DEL CARTÍLAGO ARTICULAR","Instituto Nacional de Rehabilitación","María del Rocío Aguilar Gaytán",Candidato,"Desarrollo y Evaluación de Tecnologías para la Salud"
"MÉTODOS DE PCR EN TIEMPO REAL PARA LA DETECCIÓN RÁPIDA DE FALLA AL TRATAMIENTO EN TUBERCULOSIS.","Centro Nacional de Programas Preventivos y Control de Enfermedades","Hiram Olivera Díaz",1,"Enfermedades Infecciosas y Parasitarias"
"CARACTERIZACIÓN DEL PERFIL BIOQUÍMICO DE LAS SAXITOXINAS RELACIONADAS CON LA INTOXICACIÓN PARALIZANTE POR CONSUMO DE MOLUSCOS BIVALVOS EN EL LITORAL DE GUERRERO Y OAXACA.","Servicios Estatales de Salud","Beatríz Pérez Cruz",,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"GROSOR INTIMA-MEDIA DE LA CARÓTIDA EN PACIENTES CON DIABETES TIPO 2 DIAGNOSTICADA ANTES DE LOS 40 AÑOS","Instituto Mexicano del Seguro Social","Rita Angelica Gómez Díaz",1,"Enfermedades crónicas o degenerativas"
"DETECCION DE CELULAS TRONCALES TUMORALES CIRCULANTES PARA EL DIAGNOSTICO Y PRONOSTICO DEL CANCER DE MAMA","Instituto Nacional de Medicina Genómica","Jorge Meléndez Zajgla",2,"Neoplasias Malignas"
"USO DE INMUNOMODULADORES PARA EL TRATAMIENTO DE ULCERAS DE PIE DIABÉTICO","Instituto Mexicano del Seguro Social","Bruno Tonatiuh Rivas Santiago",1,"Enfermedades crónicas o degenerativas"
"PREDICCION DE ZONAS DE  RIESGO DE  ADQUISICION DE ENFERMEDAD DE LYME EN LA REPUBLICA MEXICANA Y GENOTIPIFICACION DE  BORRELIA BURGDORFERI  PREVALENTE EN GARRAPATAS, RESERVORIOS Y  ESPECIMENES CLINICOS.","Instituto Mexicano del Seguro Social","María Guadalupe Gordillo Pérez",,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"DESARROLLO DE UN MÉTODO PARA EL DIAGNÓSTICO RÁPIDO DIFERENCIAL DE FIEBRES HEMORRÁGICAS","Instituto Nacional de Salud Pública","Mario Henry Rodríguez López",3,"Enfermedades Infecciosas y Parasitarias"
"CARACTERIZACIÓN DE LA CONTRIBUCIÓN GENÉTICA ASOCIADA AL RIESGO A PADECER DEGENERACIÓN MACULAR RELACIONADA A LA EDAD EN POBLACIÓN MEXICANA.","Instituto Nacional de Medicina Genómica","Irma Silva Zolezzi",Candidato,"Grupos Vulnerables"
"MARCADORES DE DAÑO ENDOTELIAL  EN PACIENTES QUE DESARROLLAN ATEROESCLEROSIS ACELERADA SECUNDARIA A ENFERMEDADES SISTÉMICAS AUTOINMUNES","Instituto Nacional de Enfermedades Respiratorias","María del Carmen Navarro González",1,"Enfermedades crónicas o degenerativas"
"¿USO DE UN POLÍMERO BIODEGRADABLE PARA LA LIBERACIÓN DEL GEN DE LA IL-12 EN UN MODELO EXPERIMENTAL TUMORAL MURINO VPH POSITIVO COMO TERAPIA LOCAL NO INVASIVA CONTRA EL CÁNCER CERVICAL¿.","Instituto Nacional de Salud Pública","Victor Hugo Bermúdez Morales",1,"Neoplasias Malignas"
"IDENTIFICACIÓN Y CARACTERIZACION MOLECULAR DE LA INFECCIÓN ACTIVA POR CITOMEGALOVIRUS EN RECIÉN NACIDOS PREMATUROS","Hospital Infantil de México Federico Gómez","Norma Velázquez Guadarrama",1,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACIÓN DE LOS PERFILES DE EXPRESIÓN GENÓMICA ASOCIADOS CON LA RESPUESTA A LA VENTANA DE ESTEROIDES Y AL TRATAMIENTO DE INDUCCIÓN A LA REMISIÓN EN BLASTOS LINFOIDES DE NIÑOS CON LEUCEMIA AGUDA LINFOBLÁSTICA, UTILIZANDO MICROARREGLOS DE EXPRESIÓN.","Instituto Nacional de Pediatria","Oscar Alberto Pérez González",,"Neoplasias Malignas"
"BÚSQUEDA DE NUEVOS COMPUESTOS LÍDERES PARA EL CONTROL DE HELICOBACTER PYLORI.","Instituto Politécnico Nacional","Xianwu Guo Zhou",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"CONTRIBUCIÓN DEL LOCUS HLA-DP EN LA EXPRESIÓN DE LAS LEUCEMIAS AGUDAS EN NIÑOS MEXICANOS","Centro Nacional de Programas Preventivos y Control de Enfermedades","Carmen Alaez Verson",2,"Neoplasias Malignas"
"IDENTIFICACIÓN DE POSIBLES BIOMARCADORES EN ENFERMEDAD RENAL CRÓNICA: ANÁLISIS PROTEÓMICO.","Instituto Mexicano del Seguro Social","Jose Ramon Paniagua Sierra",3,"Enfermedades crónicas o degenerativas"
"POLIMORFISMOS DEL GEN MDR1 ASOCIADOS AL NIVEL DE EXPRESIÓN DE RNA MENSAJERO DEL MISMO GEN Y A LA RESPUESTA AL TRATAMIENTO EN SARCOMAS DE NIÑOS ATENDIDOS EN EL INP","Instituto Nacional de Pediatria","Oscar Alberto Pérez González",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"CAPACIDAD DE AFILIACIÓN DE LAS FAMILIAS DE MIGRANTES A UN ESQUEMA DE SEGURO DE SALUD","Instituto Nacional de Salud Pública","Miguel Ángel González Block",2,"Grupos Vulnerables"
"EVALUACIÓN DE LAS CÉLULAS T CD8+ NKT-LIKE DE SANGRE PERIFÉRICA Y CAMBIOS CITOPATICOS VIRALES EN CITOLOGÍAS CERVICALES.","Universidad de Guadalajara","María Luisa Pita López",,"Enfermedades crónicas o degenerativas"
"REVERSIÓN DE LA RESISTENCIA A LA QUIMIOTERAPIA EN LINFOMAS PEDIÁTRICOS MEDIANTE LA INDUCCIÓN DE APOPTOSIS, UTILIZANDO VECTORES BACTERIANOS QUE EXPRESAN PÉPTIDOS ANTAGÓNICOS A LA ACTIVIDAD DE BCL-2.","Hospital Infantil de México Federico Gómez","Sara Huerta Yépez",2,"Neoplasias Malignas"
"EFECTO DEL PLASMA DE MUJERES EMBARAZADAS CON PREECLAMPSIA  SOBRE CULTIVOS DE CELULAS ENDOTELIALES. EN BUSQUEDA DE UN FACTOR SERICO INDUCTOR DE DAÑO ENDOTELIAL COMO MARCADOR TEMPRANO DE PREECLAMPSIA.","Instituto Nacional de Cardiología ""Ignacio Chávez""","Araceli Páez Arenas",1,"Salud Reproductiva y Perinatal"
"COMPARACIÓN ENTRE LOS NIVELES DE EXPOSICIÓN A CONTAMINANTES CONTENIDOS EN PARTÍCULAS ATMOSFÉRICAS EN AMBIENTES CERRADOS Y EN EL EXTERIOR EN ZONAS DE ALTA RESUSPENSION EN CD. JUÁREZ, CHIHUAHUA","Universidad Autónoma de Ciudad Juárez","Marcos Delgado Ríos",Candidato,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"ANÁLISIS DE LOS POLIMORFISMOS EN LOS GENES, RO, IL-10 Y FCGIIB EN SÍNDROME DE SJÖGREN. ASOCIACIÓN CON NIVELES SOLUBLES, RNAM, AUTOANTICUERPOS Y SEVERIDAD CLÍNICA.","Universidad de Guadalajara","Edith Oregon Romero",1,"Enfermedades crónicas o degenerativas"
"SALUD Y MEDIO AMBIENTE: CÁNCER CERVICOUTERINO Y MAMARIO,  FACTORES DE RIESGO POR AGROQUÍMICOS Y ALIMENTOS CONTAMINADOS EN EL ESTADO DE YUCATÁN","Universidad Autónoma de Yucatán","Ángel Cirilo Lendechy Grajales",,"Neoplasias Malignas"
"VALOR PREDICTIVO DE LA MORFOLOGÍA Y EL VOLUMEN PLACENTARIO EN EL PRIMER Y SEGUNDO TRIMESTRE DEL EMBARAZO, PARA EL DESARROLLO DE PREECLAMPSIA Y RESTRICCIÓN DEL CRECIMIENTO INTRAUTERINO (RCIU).","Instituto Nacional de Perinatología","Lisbeth Lucía Camargo Marín",,"Salud Reproductiva y Perinatal"
"PREDICCIÓN Y PREVENCIÓN DE DAÑO NEUROLÓGICO EN RESTRICCIÓN DEL CRECIMIENTO INTRAUTERINO.","Instituto Nacional de Perinatología","Jesús Andrés Benavides Serralde",Candidato,"Salud Reproductiva y Perinatal"
"CORRELACION DE LOS NIVELES DE EXPRESION DE FACTORES TRANSCRIPCIONALES EN TEJIDO ADIPOSO Y SANGUINEO PARA LA DETERMINACION DE BIOMARCADORES DE RESPUESTA A UN TRATAMIENTO EJERCICIO Y DIETA PARA PERSONAS OBESAS CON Y SIN ESTEATOSIS","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Aarón Domínguez López",1,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"Cáncer de Mama y Exposición a Ftalatos en Mujeres del Norte de México","Instituto Nacional de Salud Pública","Lizbeth Teresita López Carrillo",3,"Neoplasias Malignas"
"Diseño y Construcción de Vectores Tipo Virion: Aplicaciones Potenciales como Portadores de Medicamentos, Imagenologia, Terapia Viral y Terapia Genética","Universidad Autónoma de San Luis Potosí","Jaime Ruíz García",3,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Estudio de cohorte para evaluar la exposición materna al mercurio y sus efectos en la salud perinatal.  Comunidades del Lago de Chapala.","Instituto Nacional de Salud Pública","Stephen Joel Rothenberg Lorenz",3,"Salud Reproductiva y Perinatal"
"""Estudio ex vivo de la regulación epigenética de un grupo de genes relacionados con la obesidad""","Instituto Mexicano del Seguro Social","Haydee Rosas Vargas",1,"Trastornos de la Nutrición"
"Retos de la integración funcional del sistema de salud mexicano. Un estudio de factibilidad","Instituto Nacional de Salud Pública","Gustavo Humberto Nigenda López",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Desarrollo y validacion de un microarreglo de DNA para deteccion y subtipificacion de agentes virales asociados a gastroenteritis.","Universidad Nacional Autónoma de México","Pavel Isa Haspra",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EVALUACION POBLACIONAL DE VARIANTES EN LOS GENES ABCA1 y FTO ASOCIADAS A METABOLISMO DE LIPIDOS Y OBESDIDAD, EN UNA MUESTRA PROBABILISTICA DE REPRESENTATIVIDAD NACIONAL DE LOS DERECHOHABIENTES DEL ISSSTE","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado","Sandra Romero Hidalgo",1,"Trastornos de la Nutrición"
"Evaluación de las mutaciones G2019S y G2385A del GEN LRRK2, y los polimorfismos AI0398G y T4336C del ADNmitocondrial como marcadores genéticos de riesgo de la enfermedad de Parkinson no familiar en pacientes mestizos mexicanos","Centro Médico Nacional 20 de Noviembre","Ramon Mauricio Coral Vázquez",2,"Trastornos Psiquiátricos o Neurológicos"
"Efecto del ácido aminohidroxibutírico (GABOB) sobre el daño gastroduodenal inducido por el uso crónico de antiinflamatorios no esteroideos, con o sin infección por Helicobacter pylori concomitante.","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Misael Uribe Esquivel",3,"Enfermedades crónicas o degenerativas"
"Identificación de un elemento regulador común para la expresión de los genes KiSS1 y REN en placentas de mujeres con Preeclampsia-eclampsia comparado con placentas de mujeres con embarazo normo-evolutivo","Instituto Politécnico Nacional","Carlos Galáviz Hernández",1,"Salud Reproductiva y Perinatal"
"IDENTIFICACIÓN DE GENES BLANCO PARA EL MICRORNA MIR21 EN CÉLULAS CERVICALES TUMORALES HUMANAS TRANSFORMADAS CON HPV","Instituto Nacional de Salud Pública","Oscar Peralta Zaragoza",1,"Enfermedades Infecciosas y Parasitarias"
"La calpaína 10 como biomarcador temprano de riesgo para desarrollar  Diabetes Mellitus tipo 2 (DM2)","Universidad Nacional Autónoma de México","Martha Patricia Ostrosky Shejet",3,"Enfermedades crónicas o degenerativas"
"Marcadores bioquímicos en la progresión de la calcificación arterial  y su  asociación con mortalidad cardiovascular en pacientes de Hemodiálisis y Diálisis peritoneal.","Instituto Mexicano del Seguro Social","Marcela Ávila Díaz",,"Enfermedades crónicas o degenerativas"
"Una intervención basada en teléfonos celulares para mejorar el control glucémico en adultos con diabetes mellitus tipo 2.","Instituto Nacional de Salud Pública","Mario Efraín Flores Aldana",1,"Enfermedades crónicas o degenerativas"
"Desarrollo de un sistema de diagnóstico temprano para dengue e identificación de factores de riesgo de progresión a dengue hemorrágico","Centro de Investigación y de Estudios Avanzados del IPN","Rosa María Del Ángel Núñez De Cáceres",3,"Enfermedades Infecciosas y Parasitarias"
"Daño neuronal asociado a la hipoglucemia, su relevancia para la isquemia cerebral y posible protección por cuerpos cetónicos","Universidad Nacional Autónoma de México","María de Lourdes Massieu Trigo",2,"Trastornos Psiquiátricos o Neurológicos"
"Mapeo de la función cerebral por espectroscopía de infrarrojos en lactantes.","Universidad Nacional Autónoma de México","Thalia Harmony Baillet",3,"Salud Reproductiva y Perinatal"
"¿CORRELACION DE LA CODELECION 1p 19q CON LA EXPRESION DE LA APOPTOSIS, Y SU RELACION CON LA RESPUESTA A TRATAMIENTO Y SOBREVIDA EN NIÑOS CON ASTROCITOMA¿","Instituto Mexicano del Seguro Social","Javier Enrique López Aguilar",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"ESCLEROSIS MÚLTIPLE: IDENTIFICACION MICROSCÓPICA DEL VIRUS DE LA VARICELA EN DIVERSAS MANIFESTACIONES CLÍNICAS","Centro de Investigación y de Estudios Avanzados del IPN","Adolfo Martínez Palomo",3,"Trastornos Psiquiátricos o Neurológicos"
"Papel de la angiogénesis y linfangiogénesis para la obtención de imagen mastográfica con técnica digital con medio de contraste.","Instituto Mexicano del Seguro Social","Luis Benítez Bribiesca",3,"Neoplasias Malignas"
"Embarazo adolescente y deserción escolar: explorando el papel del entorno sociofamiliar y escolar en la promoción de la salud sexual y reproductiva y en la construcción de proyectos de vida y desarrollo personal de los(as) adolescentes.","Instituto Nacional de Salud Pública","María de Lourdes Eugenia Campero Cuenca",1,"Grupos Vulnerables"
"Búsqueda de marcadores pronósticos mediante el análisis proteómico de biopsias de tumores de cancer de mama triples negativo en la poblacion mexicana.","Universidad Autónoma de la Ciudad de México","Mario César López Camarillo",1,"Neoplasias Malignas"
"Identificación de Variantes Genéticas que Confieren Susceptibilidad a la Enfermedad Arterial Coronaria en Población Mexicana","Instituto Nacional de Medicina Genómica","María Teresa Villarreal Molina",1,"Enfermedades crónicas o degenerativas"
"Biomarcadores para establecer un método de diagnóstico temprano para cáncer gástrico.","Universidad Nacional Autónoma de México","Gonzalo Castillo Rojas",1,"Neoplasias Malignas"
"Desarrollo de un implante tridimensional de células madre mesenquimatosas modificadas genéticamente para reemplazo de cartílago articular","Universidad Autónoma de Nuevo León","Augusto Rojas Martínez",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"EXPRESIÓN DE CLAUDINAS EN BIOPSIAS DE PACIENTES POSITIVOS A HELICOBACTER PYLORI Y SU RELACIÓN CON LA CARCINOGÉNESIS GÁSTRICA.","Universidad Nacional Autónoma de México","Erika Patricia Rendón Huerta",1,"Neoplasias Malignas"
"EFECTO DEL BLOQUEO DE ALDOSTERONA SOBRE EL FENOMENO ISQUEMIA-REPERFUSIÓN EN el TRASPLANTE RENAL.","Universidad Nacional Autónoma de México","Norma Araceli Bobadilla Sandoval",3,"Enfermedades crónicas o degenerativas"
"La satisfacción/insatisfacción de los usuarios del sistema de salud  con la atención desde sus expectativas y experiencias en México","Universidad Nacional Autónoma de México","Alicia Hamui Sutton",2,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Caracterización de mutaciones y polimorfismos en los genes CRELD1, NKX2.5 y GATA4 en una muestra de pacientes mexicanos con síndrome de Down y defectos de septación cardiaca.","Instituto Nacional de Pediatria","Miguel Ángel Alcántara Ortigoza",1,"Salud Reproductiva y Perinatal"
"Polimorfismos genéticos del CYP2D6,CYP3A4, CYP3A5, CYP2C9 y CYP2C19 en población Indígena del noroeste de México y su impacto en la respuesta a medicamentos.","Instituto Politécnico Nacional","Martha Guadalupe Sosa Macías",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Estudio de asociación de polimorfismos en genes candidatos y labio paladar hendido en una muestra de pacientes de origen mexicano.","Instituto Nacional de Pediatria","Ariadna Estela González Del Ángel",1,"Salud Reproductiva y Perinatal"
"Efecto de la acupuntura en el tratamiento de la obesidad y la expresión génetica en los adipocitos.","Instituto Politécnico Nacional","Laurence Annie Marchat Marchau",1,"Trastornos de la Nutrición"
"Promoción e impacto de estrategias educativas en salud e higiene para prevenir enfermedades gastrointestinales y diarreicas por parasitosis en escolares de áreas marginadas de Sonora y Oaxaca. Estudio piloto.","Centro de Investigación en Alimentación y Desarrollo AC","Luis Quihui Cota",1,"Enfermedades Infecciosas y Parasitarias"
"BURNOUT, SOBRECARGA PERCIBIDA Y SINTOMATOLOGÍA ASOCIADA AL ESTRÉS EN AMAS DE CASA MEXICANAS.","Universidad Veracruzana","Godeleva Rosa Ortíz Vivéros",1,"Grupos Vulnerables"
"DETECCION DE AGENTES VIRALES RELACIONADOS CON LA SALUD DEL BINOMIO MADRE-HIJO","Universidad Autónoma de Yucatán","Laura Conde Ferraez",1,"Enfermedades Infecciosas y Parasitarias"
"""Dejando Huellitas en tu Vida"" Instrumentación de un programa habilidades sociales para niños/as de segundo a quinto año de primaria para disminuir problemas conductuales y de salud mental","Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""","Jorge Ameth Villatoro Velázquez",1,"Grupos Vulnerables"
"Diseño de un equipo para evaluar opticamente la consolidación ósea.","Instituto Nacional de Rehabilitación","Pedro Alejandro Lomelí Mejía",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"POLIMORFISMOS EN LOS GENES DE OPG, LRP5 Y ESR1 COMO MARCADORES DE RIESGO GENÉTICO PARA LA PRESENTACIÓN DE FRACTURAS OSTEOPORÓSTICAS EN MUJERES POSMENOPÁUSICAS","Centro Médico Nacional 20 de Noviembre","Ileana Patricia Canto Cetina",2,"Enfermedades crónicas o degenerativas"
"Dehidroepiandrosterona: Estudio de sus posibles mecanismos moleculares antifibrosantes y su importancia como biomarcador para el diagnóstico y pronóstico de la fibrosis pulmonar idiopática","Instituto Nacional de Enfermedades Respiratorias","Moisés Eduardo Selman Lama",3,"Enfermedades crónicas o degenerativas"
"Efecto de la vibración como terapia preventiva del síndrome del pie diabético","Instituto Nacional de Rehabilitación","Gerardo Rodríguez Reyes",,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Desarrollo de un fitomedicamento con base en el extracto estandarizado de Sechium edule para el tratamiento de las complicaciones vasculares de la Hipertension Arterial Cronica","Universidad Autónoma del Estado de Morelos","Gabriela Rosas Salgado",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Identificación de marcadores moleculares de tipo proteico para el desarrollo de un kit de diagnóstico y pronóstico del cáncer de mama en mujeres mexicanas","Centro de Investigación y de Estudios Avanzados del IPN","Juan Pedro Luna Arias",1,"Neoplasias Malignas"
"Desarrollo de un programa de vigilancia epidemiológica de la gastroenteritis viral infantil en México","Centro Nacional de Programas Preventivos y Control de Enfermedades","Herlinda García Lozano",,"Enfermedades Infecciosas y Parasitarias"
"Efecto de la administración enteral de ácidos grasos poli-insaturados omega 3 más un complemento alimenticio  sobre la mortalidad, el  estado de nutrición y la toxicidad del tratamiento de niños con leucemia aguda linfoblástica: Ensayo clínico controla","Instituto Mexicano del Seguro Social","María de Lourdes Barbosa Cortés",,"Neoplasias Malignas"
"Identificación y selección de microRNAs en suero que permiten el diagnóstico y clasificación del Cáncer de Cervix","Universidad Autónoma de Nuevo León","Rocio Ortíz López",2,"Neoplasias Malignas"
"Diagnóstico no invasivo de la enfermedad de Alzheimer a través de la determinación de la proteína tau patológica en líquido cefalorraquídeo¿.","Centro de Investigación y de Estudios Avanzados del IPN","Francisco García Sierra",2,"Trastornos Psiquiátricos o Neurológicos"
"DETERMINACION DE LOS NIVELES DE ARSENICO EN LA CIUDAD DE DURANGO  Y EVALUACION DE LA ASOCIACION DE LOS POLIMORFISMOS EN EL GEN CAT CON LA GENERACION DE DAÑO EN EL ADN","Universidad Juárez del Estado de Durango","Jose Manuel Salas Pacheco",2,"Salud Ambiental y Riesgos Derivados por los Cambios Climáticos"
"EFECTO LA PROLACTINA SOBRE LA FUNCION DE LOS LINFOCITOS T REGULADORES DE PACIENTES CON LUPUS ERITEMATOSO SITÉMICO Y SU POTENCIAL APLICACIÓN EN EL TRATAMIENTO","Universidad Nacional Autónoma de México","Arturo Edgar Zenteno Galindo",3,"Enfermedades crónicas o degenerativas"
"DISEÑO DE UN SISTEMA DE ADQUISICIÓN Y ANÁLISIS DE IMÁGENES DIGITALES PARA SU APLICACIÓN EN EL DIAGNÓSTICO MICROSCÓPICO DE LA ENFERMEDAD DE CHAGAS","Universidad Autónoma de Yucatán","Hugo Antonio Ruíz Piña",1,"Enfermedades Infecciosas y Parasitarias"
"IDENTIFICACION DE FACTORES DE SUSCEPTIBILIDAD GENOMICA PARA EL DESARROLLO DE LA OBESIDAD Y RASGOS METABOLICOS RELACIONADOS","Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán""","Samuel Canizales Quinteros",2,"Trastornos de la Nutrición"
"BUSQUEDA DE MARCADORES MOLECULARES (EPIGENÉTICOS Y DE EXPRESIÓN) ASOCIADOS A LA RESPUESTA CLINICA EN PACIENTES CON CANCER CERVICO-UTERINO LOCALMENTE AVANZADO EMPLEANDO HERRAMIENTAS DE ANÁLISIS GENÓMICO.","Instituto Nacional de Cancerología","Carlos Guadalupe Pérez Plasencia",1,"Neoplasias Malignas"
"Papel de la Fructosa en la Obesidad y el Síndrome Metabólico","Instituto Nacional de Cardiología ""Ignacio Chávez""","Magdalena Madero Rovalo",2,"Trastornos de la Nutrición"
"PRESENCIA Y TRASMISIÓN DEL AGENTE CAUSAL DE LA ENFERMEDAD DE CHAGAS Y VECTORES ASOCIADOS A LA INFECCIÓN EN EL ESTADO DE MICHOACÁN Y CIUDAD DE MÉXICO.","Hospital General ""Dr. Manuel Gea González""","Fernando Martínez Hernández",1,"Enfermedades Infecciosas y Parasitarias"
"DETECCION MOLECULAR DE VIBRIOS  PATOGENOS EN MOLUSCOS MARINOS DESTINADOS A CONSUMO HUMANO","Centro de Investigación Científica y de Educación Superior de Ensenada","Marcial Leonardo Lizárraga Partida",1,"Enfermedades Infecciosas y Parasitarias"
"Prevención de obesidad en niños: una intervención basada en la atención en Guarderías del Instituto Mexicano del Seguro Social","Instituto Nacional de Salud Pública","Hortensia Reyes Morales",2,"Trastornos de la Nutrición"
"Fitofármacos de plantas medicinales mexicanas: caracterización química y evaluación molecular del efecto antitumoral en líneas celulares de cáncer de mama","Instituto Politécnico Nacional","María del Consuelo Gómez García",2,"Neoplasias Malignas"
"GENOTIPIFICACION DE BACTERIAS CAUSANTES DE SEPTICEMIA NEONATAL TEMPRANA MEDIANTE LA SUBUNIDAD   16 S rRNA","Centro de Investigación y de Estudios Avanzados del IPN","Vianney Francisco Ortíz Navarrete",2,"Enfermedades Infecciosas y Parasitarias"
"INMUNOENSAYO ELECTROQUÍMICO BASADO EN UNA ETIQUETA-NANOPARTÍCULA DE SULFURO DE PLOMO PARA EL DIAGNÓSTICO TEMPRANO DE ANTÍGENO CARCINOEMBRIONARIO (ACE) EN SUERO HUMANO","Centro de Investigación y Desarrollo Tecnológico en Electroquímica","Jose Luis Hernández López",1,"Neoplasias Malignas"
"DEFINICIÓN ANATOMOFISIOLÓGICA DEL ÁREA SUBTALÁMICA POSTERIOR EN EL HOMBRE Y SUS IMPLICACIONES EN LA FISIOPATOLOGÍA Y TRATAMIENTO QUIRÚRGICO DE LA ENFERMEDAD DE PARKINSON","Hospital General de México","Francisco Velasco Campos",3,"Trastornos Psiquiátricos o Neurológicos"
"INGENIERÍA DE TEJIDOS Y MEDICINA REGENERATIVA PARA EL DESARROLLO Y TRASPLANTE DE PABELLÓN AURICULAR","Instituto Nacional de Rehabilitación","María Cristina Velasquillo Martínez",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
"Identificación de parásitos intestinales emergentes, como causa de diarrea aguda en pacientes con VIH y cáncer mediante PCR múltiple.","Hospital Infantil de México Federico Gómez","Enedina Jiménez Cardoso",2,"Enfermedades Infecciosas y Parasitarias"
"CARACTERIZACIÓN QUÍMICO-BIOLÓGICA DE COMPUESTOS CON POTENCIAL ANTIDIABÉTICO DERIVADOS DE PLANTAS NATIVAS","Instituto Potosino de Investigación Científica y Tecnológica","Luis Antonio Salazar Olivo",1,"Enfermedades crónicas o degenerativas"
"Polarización de las células T de memoria centrales como biomarcador de riesgo en pacientes en etapa avanzada de la enfermedad por VIH","Instituto Nacional de Enfermedades Respiratorias","Hector Enrique Espinosa Arciniega",1,"Enfermedades Infecciosas y Parasitarias"
"Ambiente Seguro, Intervenciones para Prevención de Atropellamientos en Cuernavaca","Instituto Nacional de Salud Pública","Julio Cesar Campuzano Rincón",1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"Promoción de estilos de vida saludable en niños y adolescentes con la participación activa de la población","Instituto Nacional de Salud Pública","María de la Luz Arenas Monreal",,"Grupos Vulnerables"
"IDENTIFICACIÓN DE LOS FACTORES DE RIESGO VASCULAR ASOCIADOS CON EL RÁPIDO DETERIORO COGNITIVO EN PACIENTES CON ALZHEIMER","Instituto Mexicano del Seguro Social","Teresa Juárez Cedillo",1,"Trastornos Psiquiátricos o Neurológicos"
"La promoción de la salud y el fortalecimiento de los recursos psicológicos personales, familiares y sociales como estrategia de intervención ante la migración.","Universidad Michoacana de San Nicolás de Hidalgo","María Elena Rivera Heredia",1,"Grupos Vulnerables"
"Indice de masa corporal y marcadores genéticos como factores de riesgo para osteoporosis en mujeres yucatecas","Universidad Autónoma de Yucatán","Thelma Elena Canto Cetina",1,"Enfermedades crónicas o degenerativas"
"Desarrollo de un panel para la detección de los agentes causales de bacteriemia/sepsis a partir de hemocultivos positivos","Universidad Autónoma de Nuevo León","Elvira Garza González",2,"Desarrollo y Evaluación de Tecnologías para la Salud"
"AISLAMIENTO Y SEROTIPIFICACIÓN DE VIRUS DEL DENGUE EN MOSQUITOS DEL GÉNERO AEDES PARA LA VIGILANCIA EPIDEMIOLÓGICA DE LA ENFERMEDAD","Centro Nacional de Programas Preventivos y Control de Enfermedades","Heron Huerta Jiménez",1,"Enfermedades Infecciosas y Parasitarias"
"PERFIL GENÓMICO DEL PROCESO INFLAMATORIO DE LAS ENFERMEDADES CORONARIAS CARDIOVASCULARES: EN EL SURESTE DE MÉXICO","Universidad Autónoma de Chiapas","Luis Miguel Canseco Ávila",Candidato,"Enfermedades crónicas o degenerativas"
"Identificación de microRNAs circulantes en suero como biomarcadores potenciales en el diagnóstico de osteoartritis","Instituto Nacional de Rehabilitación","Veronica Marusa Borgonio Cuadra",Candidato,"Grupos Vulnerables"
"CONCENTRACIÓN SÉRICA DE VITAMINA D [25(OH)D3] SU ASOCIACIÓN CON LA DENSIDAD MINERAL ÓSEA Y POLIMORFISMOS DEL RECEPTOR DE VITAMINA D EN UNA COHORTE DE INDIVIDUOS SANOS DEL ESTADO DE MÉXICO","Universidad Nacional Autónoma de México","Patricia Elena Clark Peralta",2,"Grupos Vulnerables"
"Evaluación de la exposición a plaguicidas utilizando una prueba tamiz, en mujeres embarazadas y sus recién nacidos, para la detección temprana de un factor de riesgo para la salud.","Instituto Nacional de Pediatria","Rocío Aidee Castillo Cruz",,"Salud Reproductiva y Perinatal"
"Prototipo de Sistema de Rayos-X Guiado por Imágenes para Radioterapia Mediada por Agentes de Contraste","Centro de Investigación y de Estudios Avanzados del IPN","Héctor Mauricio Garnica Garza",1,"Desarrollo y Evaluación de Tecnologías para la Salud"
