TITULO DEL PROYECTO,INSTITUCION,RESPONSABLE,NIVEL,DEMANDA
PARTICIPACIÓN DEL VIRUS DE VARICELA ZOSTER EN EL DESENCADENAMIENTO DE REACCIONES AUTOINMUNES EN ESCLEROSIS MÚLTIPLE Y POSIBLE APLICACIÓN TERAPÉUTICA DE 3 PROTEÍNAS VIRALES RECOMBINANTES.,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Julio Everardo Sotélo Morales,3,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Estudio de los alelos de HLA clase II y su asociación con la persistencia de la infección por virus del papiloma humano y el desarrollo de lesiones premalignas de cérvix.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Julio Granados Arreola,3,Neoplasias malignas
Validación de biomarcadores candidato para la diferenciación molecular entre nódulos displásicos y carcinomas hepatocelulares,Instituto Nacional de Medicina Genómica (INMEGEN),Julio Isael Pérez Carreón,1,Neoplasias Malignas
TELEASISTENCIA EN DIÁLISIS PERITONEAL,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",Julio Kaji Kiyono,,Enfermedades crónicas o degenerativas
Consolidación de una red de investigación y diagnóstico de enfermedades virales,Instituto Mexicano del Seguro Social,Julio Roberto Reyes Leyva,2,Enfermedades Infecciosas y Parasitarias
CARACTERIZACIÓN DE VARIANTES GENÉTICAS ASOCIADAS A LA ADICCION A LA NICOTINA EN FAMILIAS MEXICANAS,Instituto Nacional de Enfermedades Respiratorias,Justino Regalado Pineda,1,Salud Mental y Adicciones
"DESARROLLO, APLICACIÓN Y VALIDACIÓN DE UN ENSAYO DE PCR CUANTITATIVA EN ARREGLO PARA LA DETECCIÓN DE SECUENCIAS VIRALES EN CÁNCER DE MAMA",Universidad Autónoma De Chiapas,KARINA DEL CARMEN TRUJILLO MURILLO,1,Neoplasias malignas
"Estudio a Nivel Celular y Molecular de la Disfunción Miocardica Asociada con el Síndrome Metabólico y Obesidad: Implicación de la Inflamación, Resistencia a la Insulina y Señalización Metabólica",Instituto Nacional de Pediatría,Karla Guadalupe Carvajal Aguilera,1,Estudio de la interacción entre los genes y el ambiente en el desarrollo de la diabetes y obesidad.
INFLUENCIA DE LAS COMPLICACIONES SENSORIALES DE LA DIABETES MELLITUS TIPO 2 Y DE LA OBESIDAD EN LA OCURRENCIA DE CAIDA Y EN LA ESTABILIDAD CORPORAL,Instituto Mexicano del Seguro Social,Kathrine Jáuregui Renaud,2,Estrategias de investigación dirigidas a prevenir la diabetes y obesidad y sus complicaciones.
EVOLUCION DE LA HIPERTENSIÓN ARTERIAL Y LA EFECTIVIDAD DE SU TRATAMIENTO EN EL IMSS: UNA COHORTE PARA LA EVALUACIÓN DE RESULTADOS EN SALUD,Instituto Mexicano del Seguro Social,Katia Gallegos Carrillo,1,Enfermedades crónicas o degenerativas
EVALUACIÓN ANTROPOMETRICA DEL PIE DE UNA POBLACIÓN DE DIABÉTICOS PARA EL DISEÑO DE UN CALZADO ADECUADO PARA ESTE GRUPO DE RIESGO,Centro de Investigación y Asesoría Tecnológica en Cuero y Calzado,Klaus Kösters Rüther,1,Enfermedades Infecciosas y Parasitarias
DETECCIÓN DE AGENTES VIRALES RELACIONADOS CON LA SALUD DEL BINOMIO MADRE-HIJO,Universidad Autónoma De Yucatán,Laura Conde Ferraez,1,Enfermedades Infecciosas y Parasitarias
ANÁLISIS DE COSTO-EFECTIVIDAD DE UN MODELO DE INTERVENCIÓN MÚLTIPLE PARA EL DIAGNÓSTICO Y TRATAMIENTO DE LA NEFROPATÍA TEMPRANA EN PACIENTES CON DIABETES MELLITUS TIPO 2,Instituto Mexicano del Seguro Social,Laura Cortés Sanabria,1,Enfermedades crónicas o degenerativas
EVALUACIÓN DEL EFECTO UN MODELO DE INTERVENCIÓN MÚLTIPLE EN PACIENTES CON DIABETES MELLITUS TIPO 2 Y NEFROPATÍA TEMPRANA SOBRE LA PROGRESIÓN DE LA INSUFICIENCIA RENAL CRÓNICA,Instituto Mexicano del Seguro Social,Laura Cortés Sanabria,1,Enfermedades crónicas o degenerativas
MOTIVOS Y FRECUENCIA DE INCAPACIDAD E INVALIDEZ PARA EL TRABAJO EN ARTRITIS REUMATOIDE Y ESPONDILITIS ANQUILOSANTE,Instituto Mexicano del Seguro Social,Laura del Carmen González López,2,Grupos Vulnerables
EVALUACIÓN DE LAS CONDICIONES DE TRABAJO Y ESTRES DURANTE EL EMBARAZO EN MUJERES DERECHOHABIENTES DEL IMSS.,Instituto Mexicano del Seguro Social,Laura del Pilar Torres Arreola,1,Enfermedades del rezago y emergentes
evaluación del proceso de atención a la salud en la Enfermedad Vascular Cerebral en ancianos mayores de 60 años en Unidades Médicas y Hospitalarias del IMSS,Instituto Mexicano del Seguro Social,Laura Del Pilar Torres Arreola,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
Marcadores Moleculares Pronósticos en Cáncer de Mama en el Instituto Nacional de Cancerología.,Instituto Nacional de Cancerología,Laura Leticia Tirado Gómez,1,Neoplasias malignas
DESARROLLO E IMPLEMENTACIÓN DE NUEVAS TECNOLOGÍAS DIAGNÓSTICAS MOLECULARES PARA DISFERLINOPATIA: SEGUNDA CAUSA DE DISTROFIA MUSCULAR EN MÉXICO?,Instituto Nacional de Rehabilitación,LAURA SÁNCHEZ CHAPUL,1,Desarrollo y Evaluación de Tecnologías para la Salud
Efecto de la acupuntura en el tratamiento de la obesidad y la expresión génetica en los adipocitos.,"Instituto Politécnico Nacional, I.P.N.",Laurence Annie Marchat Marchau,1,Trastornos de la Nutrición
"Biomarcadores serológicos -estrógenos, factores trefoil 1-3 y ghrelina- en la progresión de gastritis atrófica a adenocarcinoma gástrico",Instituto Mexicano del Seguro Social,LEAL HERRERA YELDA AURORA,1,NEOPLASIAS MALIGNAS EN NIÑOS Y ADULTOS
Desarrollo de un equipo electrónico de ayuda médica para la detección temprana de las complicaciones de la isquemia en el pie del paciente diabético.,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),LEIJA SALAS LORENZO,2,ENFERMEDADES CRÓNICAS
ESTUDIO CLÍNICO DE FASE 1 DE 2 NUEVOS FáRMACOS ANTINEOPLÁSICOS (CASIOPEÍNAS IIGLY Y III-IA) Y DESARROLLO PRECLÍNICO DE 7 ANÁLOGOS ESTRUCTURALES.,"Universidad Nacional Autónoma De México, UNAM",Lena Ruíz Azuára,3,Neoplasias Malignas
"DESARROLLO DE ANTINEOPLÁSICOS SINTÉTICOS ""DE NOVO""Y SU EVALUACIÓN PRECLÍNICA","Universidad Nacional Autónoma De México, UNAM",Lena Ruíz Azuára,3,Desarrollo y Evaluación de Tecnologías para la Salud
Efecto coadyuvante del Extracto dializable de leucocitos (EDL) en el manejo farmacológico y terapéutico de la Depresión Mayor.,"Instituto Nacional de Psiquiatría ""Ramón de La Fuente Muñiz""",Lenin Pavón Romero,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
EL DESARROLLO DE ECUACIONES PREDICTORAS PARA LA ESTIMACIÓN DEL PORCENTAJE DE MASA GRASA EN NIÑOS MEXICANOS,Instituto Mexicano del Seguro Social,Leonardo Enrique Viniegra Velázquez,1,Educación para la Salud
"DIFERENCIAS EN LA ADHESION DE CÉLULAS ENDOTELIALES DERIVADAS DE CORDON UMBILICAL DE RECIEN NACIDOS SANOS A MONOCITOS, LINFOCITOS Y PLAQUETAS CON BASE A SUS ANTECEDENTES FAMILIARES ATEROGENICOS.",Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Leopoldo Flores Romo,3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
Evaluacion de blancos de inmunidad contra el virus dengue y su potencial aplicacion en la elaboración de candidatos a vacunas,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Leticia Cedillo Barrón,1,Enfermedades Infecciosas y Parasitarias
CUENTAS EN DIABETES MELLITUS Y ENFERMEDADES CARDIOVASCULARES,Instituto Nacional de Salud Pública,Leticia del Socorro Ávila Burgos,3,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
IMPACTO ECONÓMICO DE LAS LESIONES POR ACCIDENTE DE TRÁFICO EN EL SISTEMA DE SALUD.,Instituto Nacional de Salud Pública,Leticia del Socorro Ávila Burgos,3,Accidentes y Violencia
"Protección contra enfermedades prevenibles por vacunas en uso y factores epidemiológicos de susceptibilidad en niños, adolescentes y adultos a partir del análisis de la ENSANUT 2011.",Instituto Nacional de Salud Pública,LETICIA DOLORES FERREYRA REYES,1,Enfermedades infecciosas y parasitarias
ALTERACIONES DE LA HOMEOSTASIS DEL CLORO Y GABA EN NEURONAS CORTICALES DISPLÁSICAS COMO ORIGEN DE LA HIPEREXCITABILIDAD EN PACIENTES PEDIÁTRICOS CON EPILEPSIA REFRACTARIA A MEDICAMENTOS,Instituto Nacional de Pediatría,Leticia Granados Rojas,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
EVALUACIÓN DE LA SALUD AMBIENTAL INFANTIL DE UNA COMUNIDAD DEL ESTADO DE MÉXICO,Universidad Autónoma De San Luis Potosí,Leticia Guadalupe Yáñez Estrada,1,Medio Ambiente y Salud
"RIESGO EN SALUD POR LA EXPOSICIÓN A DIOXINAS EN SALAMANCA, GUANAJUATO",Universidad Autónoma De San Luis Potosí,Leticia Guadalupe Yáñez Estrada,1,Enfermedades crónicas o degenerativas
OBESIDAD EN ADOLESCENTES Y SU IMPACTO SOBRE LA SALUD Y RESPUESTA INFLAMATORIA: UN ESTUDIO DE INTERVENCIÓN.,Instituto Nacional de Salud Pública,Leticia Hernández Cadena,1,Trastornos de la Nutrición
Estudio del potencial de una vacuna genómica para prevenir la infección por virus del papiloma humano genital,"Universidad Nacional Autónoma De México, UNAM",Leticia Rocha Zavaleta,1,Enfermedades Infecciosas y Parasitarias
Respuesta antioxidante de la leche materna a la presencia de contaminación química,"Centro de Investigaciónes Biológicas del Noroeste, S.C.",Lia Celina Méndez Rodríguez,2,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
ANÁLISIS DE LA MARCHA Y BALANCE PARA PREVENIR FACTORES DE RIESGO EN EL PACIENTE CON OSTEOPOROSIS.,Instituto Nacional de Rehabilitación,Lidia Núñez Carrera,,Enfermedades crónicas o degenerativas
Investigación del flujo de la transmisión de cepas de Plasmodium vivax en una zona con persistencia de paludismo para su control oportuno.,Instituto Nacional de Salud Pública,Lilia González Cerón,1,Enfermedades Infecciosas y Parasitarias
Exposición de ftalatos por procedimientos médicos en recien nacidos varones y evaluación de sus efectos en la función gonadal,Universidad Autónoma Del Estado de México,Lilia Patricia Bustamante Montes,1,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
ESTUDIO MOLECULAR DE GENES ASOCIADOS A INVASIÓN TROFOBLÁSTICA COMO PROBABLES MARCADORES PREDICTIVOS PARA EL DESARROLLO DE PREECLAMPSIA-ECLAMPSIA.,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Liliana García Ortíz,Candidato,Salud Reproductiva y Perinatal
DESARROLLO DE UNA PRUEBA DIAGNÓSTICA Y PRONÓSTICA PARA PACIENTES MEXICANAS CON DIAGNÓSTICO DE CÁNCER DE MAMA BASADA EN LA DETERMINACIÓN DE LOS NIVELES SÉRICOS DE AGP.,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Liliana García Ortíz,Candidato,Neoplasias malignas
MARCADORES NUTRICIOS Y PSICO-SOCIALES DEL SÍNDROME DE FRAGILIDAD EN ADULTOS MAYORES MEXICANOS,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Liliana Ruíz Arregui,,Enfermedades crónicas o degenerativas
evaluación del efecto combinado de Ademetionina (S-Adenosyl Metionina) y la terapia estándar de IFN (PEG-IFN-alfa y Ribavirina) en la replicación del VHC: estudio in vitro y en pacientes con Hepatitis C,Universidad Autónoma De Nuevo León,Linda Elsa Muñoz Espinosa,2,Enfermedades crónicas o degenerativas
"VALOR PREDICTIVO DE LA MORFOLOGÍA Y EL VOLUMEN PLACENTARIO EN EL PRIMER Y SEGUNDO TRIMESTRE DEL EMBARAZO, PARA EL DESARROLLO DE PREECLAMPSIA Y RESTRICCIÓN DEL CRECIMIENTO INTRAUTERINO (RCIU).",Instituto Nacional de Perinatología,Lisbeth Lucía Camargo Marín,,Salud Reproductiva y Perinatal
Análisis molecular de pacientes y portadoras de enfermedad granulomatosa crónica y su correlación con el pronóstico clínico,Instituto Nacional de Pediatría,LIZBETH BLANCAS GALICIA,Candidato,Grupos Vulnerables
evaluación del riesgo genético a obesidad basado en la variación del número de copias (CNVs) y del SNP rs9939609 del gen FTO en niños mestizos de Yucatán.,Universidad Autónoma De Yucatán,Lizbeth Josefina González Herrera,1,Trastornos de la Nutrición
Asociación de polimorfismos en genes del metabolismo y transporte de folatos con los defectos de cierre de tubo neural en población yucateca,Universidad Autónoma De Yucatán,Lizbeth Josefina González Herrera,1,Padecimientos Congénitos o de origen genético
FRECUENCIA DE GENOTIPOS SUSCEPTIBLES DEL GEN PARAOXONASA 1 EN PACIENTES YUCATECOS CON GLIOMA Y HETEROCIGOSIDAD DE LAS REGIONES CROMOSÓMICAS 1P36 Y 19Q13.,Universidad Autónoma De Yucatán,Lizbeth Josefina González Herrera,1,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Tabaquismo pasivo y susceptibilidad genética como predictores del Cáncer mamario,Instituto Nacional de Salud Pública,Lizbeth Teresita López Carrillo,3,Neoplasias Malignas
FACTORES AMBIENTALES Y SUSCEPTIBILIDAD GENÉTICA ASOCIADOS AL CÁNCER MAMARIO (CAMA) EN MÉXICO,Instituto Nacional de Salud Pública,Lizbeth Teresita López Carrillo,3,Neoplasias malignas
DIETARY-GENE INTERACTIONS FOR GASTRIC CÁNCER RISK AND SURVIVAL.,Instituto Nacional de Salud Pública,Lizbeth Teresita López Carrillo,3,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
Cáncer de Mama y Exposición a Ftalatos en Mujeres del Norte de México,Instituto Nacional de Salud Pública,Lizbeth Teresita López Carrillo,3,Neoplasias Malignas
PARTICIPACIÓN DEL COMPLEJO DE ADHESIÓN VÍA B-1 INTEGRINA DE OSTEOBLASTOS HUMANOS DIFERENCIADOS A PARTIR DE CÉLULAS MADRE DE MEMBRANA AMNIOTICA EN EL PROCESO DE ADHESIÓN A UNA MATRIZ. POTENCIAL APLICACIÓN EN INGENIERÍA DE TEJIDOS ÓSEOS,"Hospital General ""Dr. Manuel Gea González""",Lizeth Alicia Fuentes Mera,Candidato,Accidentes y Violencia
CARACTERIZACIÓN DE FACTORES GENÉTICOS DE RIESGO PARA DESARROLLAR OBESIDAD EN PACIENTES MESTIZOS MEXICANOS,Instituto Nacional de Medicina Genómica (INMEGEN),Lorena Sofia Orozco Orozco,2,Trastornos de la Nutrición
IDENTIFICACIÓN DE MARCADORES MOLECULARES RELACIONADOS CON GRAVEDAD Y RIESGO A DESARROLLAR ASMA EN POBLACIÓN MEXICANA,Instituto Nacional de Medicina Genómica (INMEGEN),Lorena Sofia Orozco Orozco,2,Enfermedades crónicas o degenerativas
"Estudio Fase 2 para evaluar la seguridad e inmunogenicidad_x000D_
de una vacuna contra la Influenza A (H1N1) 2009 a Base de_x000D_
Partículas Parecidas a Virus (PPV): Caracterización de los anticuerpos contra AH1N1 que confieren protección contra la in",Instituto Mexicano del Seguro Social,Lourdes Andrea Arriaga Pizano,1,Influenza
DETERMINACIÓN DE LA FRECUENCIA DE LAS CÉLULAS SUPRESORAS DE ORIGEN MIELOIDE Y SU POSIBLE ÚTILIDAD COMO BIOMARCADOR PRONÓSTICO EN CÁNCER PULMONAR,Instituto Nacional de Enfermedades Respiratorias,Lourdes Maria Barrera Ramírez,1,Neoplasias malignas
TOXINAS ANTIBIÓTICOS Y DEFENSINAS DEL VENENO DE ALACRANES CON IMPORTANCIA EN SALUD PUBLICA,"Universidad Nacional Autónoma De México, UNAM",Lourival Domingos Possani Postay,3,Enfermedades del rezago y emergentes
Eficacia de la terapia nutricional y la educación a través de un sistema multimedia para el control metabólico del paciente con diabetes tipo 2. Ensayo Clínico Aleatorizado.,Instituto Mexicano del Seguro Social,Lubia Velazquez López,,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,Lucely del Carmen Cetina Pérez,2,Neoplasias Malignas
ANÁLISIS MUTACIONAL DEL GEN CDH1 EN PACIENTES CON CÁNCER GÁSTRICO DIFUSO FAMILIAR EN MÉXICO.,Instituto Nacional de Cancerología,Lucía Guadalupe Taja Chayab,1,Neoplasias Malignas
CARACTERÍSTICAS SOCIOECONÓMICAS Y GEOGRÁFICAS ASOCIADAS A LA TRANSMISIÓN DE HEPATITIS B EN LAS REGIONES DE MÉXICO DE MAYOR PREVALENCIA,Instituto Nacional de Salud Pública,Luis Alfredo Juárez Figueroa,1,Accidentes y Violencia
Expresión inmunohistoquímica de distrofina en la biopsia de piel de pacientes con distrofinopatía (distrofia muscular de Duchenne / Becker),Servicios de Salud de Durango,Luís Angel Ruano Calderón,,Desarrollo y Evaluación de Tecnologías para la Salud
CARACTERIZACIÓN QUÍMICO-BIOLÓGICA DE COMPUESTOS CON POTENCIAL ANTIDIABÉTICO DERIVADOS DE PLANTAS NATIVAS,"Instituto Potosino de Investigación Científica y Tecnológica, A.C.",Luis Antonio Salazar Olivo,1,Enfermedades crónicas o degenerativas
Marcadores biomoleculares aplicables al diagnóstico citológico del Cáncer cervicouterino.,Instituto Mexicano del Seguro Social,Luis Benítez Bribiesca,3,Neoplasias malignas
Papel de la angiogénesis y linfangiogénesis para la obtención de imagen mastográfica con técnica digital con medio de contraste.,Instituto Mexicano del Seguro Social,Luis Benítez Bribiesca,3,Neoplasias Malignas
Impacto cognitivo de la epilepsia del lóbulo temporal y su relación con las anormalidades de la conectividad y función del lóbulo temporal,"Universidad Nacional Autónoma De México, UNAM",LUIS CONCHA LOYOLA,2,"TRASTORNOS PSIQUIÁTRICOS, NEUROLÓGICOS Y SALUD MENTAL"
DESARROLLO Y EVALUACIÓN DE INDICADORES DE CALIDAD DE LA ATENCIÓN MÉDICA EN LA UNIDAD DE TERAPIA INTENSIVA. Estudio multicéntrico.,Instituto Mexicano del Seguro Social,Luis David Sánchez Velázquez,,Enfermedades Infecciosas y Parasitarias
CORRELACIÓN ENTRE EL USO DE RECURSOS COSTOS Y LA MORBI-MORTALIDAD EN LAS UNIDADES DE TERAPIA INTENSIVA MEXICANAS.,Instituto Mexicano del Seguro Social,Luis David Sánchez Velázquez,,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
"ESTUDIO DE ASOCIACIÓN ENTRE LAS VARIANTES ALÉLICAS DE LOS GENES CYP2C9, CYP2C19, GGCX Y VKORC1 CON LA DOSIFICACION DE CUMARINICOS EN PACIENTES DE POBLACIÓN MEXICANA.",Instituto Mexicano del Seguro Social,Luis Eduardo Figuera Villanueva,2,Desarrollo y Evaluación de Tecnologías para la Salud
EFECTO DE PLASMAFERESIS PRETRASPLANTE SOBRE LA INCIDENCIA DE RECHAZO HUMORAL AGUDO EN PACIENTES ALTAMENTE SENSIBILIZADOS Y ANÁLISIS DEL COMPORTAMIENTO DE ANTICUERPOS ANTI-HLA.,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",Luis Eduardo Morales Buenrostro,2,Enfermedades crónicas o degenerativas
APLICACIÓN DE CAMPOS ELECTROMAGNÉTICOS DE MUY BAJA FRECUENCIA EN LA CICATRIZACIÓN DE ÚLCERAS CRÓNICAS EN PACIENTES DIABÉTICOS COMO UN MÉTODO DE TRATAMIENTO PREVENTIVO Y COMPLEMENTARIO.,Universidad Autónoma Del Estado de Morelos,Luis Enrique Alberto Cañedo Y Dorantes,1,Enfermedades crónicas o degenerativas
"SISTEMA DE BAJO COSTO PARA REHABILITACIÓN DE EXTREMIDADES SUPERIORES_x000D_
DESPUES DE UNA ENFERMEDAD VASCULAR CEREBRAL","Instituto Nacional de Astrofísica, Óptica y Electrónica",Luis Enrique Sucar Succar,3,Desarrollo y Evaluación de Tecnologías para la Salud
CREACIÓN DE UNA UNIDAD PARA LA PRODUCCIÓN DE ROEDORES MODIFICADOS GENÉTICAMENTE,"Universidad Nacional Autónoma De México, UNAM",Luis Fernando Covarrubias Robles,3,Desarrollo y Evaluación de Tecnologías para la Salud
EFECTO DEL BLOQUEO DE LA ALDOSTERONA EN LA NEFROPATÍA CRÓNICA EN NIÑOS CON TRASPLANTE RENAL.,Hospital Infantil De México Federico Gómez,Luis Fernando Velásquez Jones,2,Enfermedades crónicas o degenerativas
Biomarcadores de infección viral en células pulmonares bajo condiciones de hipoxia para la predicción de daño tisular,Instituto Nacional de Enfermedades Respiratorias,Luis Horacio Gutiérrez González,1,Enfermedades Infecciosas y Parasitarias
ANÁLISIS GENÓMICO EN BIOPSIAS BRONQUIALES DE PACIENTES CON ENFERMEDAD RESPIRATORIA EXACERBADA POR ASPIRINA (EREA),Instituto Nacional de Enfermedades Respiratorias,Luis Manuel Terán Juárez,1,Enfermedades Infecciosas y Parasitarias
"DETERMINACIÓN DE BIOMARCADORES EN SANGRE PERIFÉRICA PARA PREDECIR RESPUESTA, TOXICIDAD AL TRATAMIENTO Y SOBREVIDA EN PACIENTES CON LINFOMA NO HODGKIN.","Instituto Tecnológico y de Estudios Superiores de Monterrey, I.T.E.S.M.",Luis Mario Villela Martínez,1,Neoplasias malignas
EVALUACIÓN DE LA FRECUENCIA Y CARACTERIZACIÓN DE MUTACIONES EN EL GEN FBXW7 Y SU ASOCIACIÓN A QUIMIORESITENCIA EN PACIENTES CON LINFOMA,"Instituto Tecnológico y de Estudios Superiores de Monterrey, I.T.E.S.M.",Luis Mario Villela Martínez,1,Neoplasias Malignas
PERFIL GENÓMICO DEL PROCESO INFLAMATORIO DE LAS ENFERMEDADES CORONARIAS CARDIOVASCULARES: EN EL SURESTE DE MÉXICO,Universidad Autónoma De Chiapas,Luis Miguel Canseco Ávila,Candidato,Enfermedades crónicas o degenerativas
Frecuencia de consecuencias clínicas y pronóstico de la tuberculosis pulmonar en adultos mayores.,Instituto Nacional de Salud Pública,Luis Pablo Cruz Hervert,,Enfermedades Infecciosas y Parasitarias
Trasplante Autologo de Celulas Mononucleares a traves de Tuneles Musculares Fibrocolagenos en Pacientes con Isquemia Critica en Extremidades Inferiores,"Centro Médico Nacional 20 de Noviembre, ISSSTE",Luis Padilla Sánchez,,Desarrollo y Evaluación de Tecnologías para la Salud
Promoción e impacto de estrategias educativas en salud e higiene para prevenir enfermedades gastrointestinales y diarreicas por parasitosis en escolares de Áreas marginadas de Sonora y Oaxaca. Estudio piloto.,"Centro de Investigación en Alimentación y Desarrollo, A.C., (CIAD)",Luis Quihui Cota,1,Enfermedades Infecciosas y Parasitarias
"Factores clínicos, bioquímicos, dosimétricos y funcionales respiratorios predictores de neumonitis por radioterapia en Cáncer de pulmón localmente avanzado (etapas IIIa y IIIb) tratados con quimio y radioterapia",Instituto Nacional de Enfermedades Respiratorias,Luis Torre Bouscoulet,1,Neoplasias malignas
Lanceta láser,"Instituto Politécnico Nacional, I.P.N.",Luis Vidal Ponce Cabrera,1,Enfermedades Infecciosas y Parasitarias
DESARROLLO DE UN ESPECTRÓMETRO DE PLASMA INDUCIDO POR LÁSER PARA LA DETERMINACIÓN DE CONTAMINACIÓN CON METALES PESADOS,"Instituto Politécnico Nacional, I.P.N.",Luis Vidal Ponce Cabrera,1,Desarrollo y Evaluación de Tecnologías para la Salud
LANCETA LÁSER CON SISTEMA AUTOMATIZADO DE POSICIONAMIENTO,"Instituto Politécnico Nacional, I.P.N.",Luis Vidal Ponce Cabrera,1,Desarrollo y Evaluación de Tecnologías para la Salud
Factores de riesgo para Cáncer de prostata en hombres mexicanos,Instituto Nacional de Salud Pública,Luisa Elvira Torres Sánchez,2,Neoplasias Malignas
"EFECTOS A LARGO PLAZO SOBRE EL DESARROLLO NEUROCONDUCTUAL DE LA EXPOSICIÓN IN UTERO A P,P'-DDE.",Instituto Nacional de Salud Pública,Luisa Elvira Torres Sánchez,2,Salud Ambiental y Riesgos Derivados por los Cambios Climáticos
INFLUENCIA DE LOS PARES Y CONSUMO DE TABACO EN EL ÁMBITO ESCOLAR: ANÁLISIS MULTINIVEL EN UN ESTUDIO DE COHORTE,Instituto Nacional de Salud Pública,Luisa Maria Sánchez Zamorano,1,Salud Mental y Adicciones
Determinación de elementos tóxicos séricos y su posible asociación a factores de riesgo ambiental en pacientes con neumonía provocada por el virus de la influenza A/H1N1 en la ciudad de México,Instituto Nacional de Enfermedades Respiratorias,Luz Mireya Moya Núñez,1,Influenza
EXPOSICIÓN AL HUMO DE TABACO AMBIENTAL EN LUGARES PÚBLICOS Y HOGARES EN LAS PRINCIPALES CIUDADES DE MÉXICO,Instituto Nacional de Salud Pública,Luz Myriam Reynales Shigematsu,1,Salud Mental y Adicciones
Diseño y evaluación de una herramienta interactiva para la cesación del tabaquismo en México,Instituto Nacional de Salud Pública,LUZ MYRIAM REYNALES SHIGEMATSU,1,"Sistemas de Salud, Economía de la Salud y Seguridad Social"
ANÁLISIS COSTO-EFECTIVIDAD DE LA VACUNA CONTRA EL VIRUS DEL PAPILOMA HUMANO Y SU IMPACTO ECONÓMICO EN LA PREVENCIÓN Y TRATAMIENTO DEL CÁNCER CÉRVICO-UTERINO EN MÉXICO,Instituto Nacional de Salud Pública,Luz Myriam Reynales Shigematsu,1,Neoplasias malignas
"ACEPTABILIDAD Y CONSUMO DE TRES SUPLEMENTOS NUTRITIVOS PARA NIÑOS MENORES DE 2 AÑOS, BENEFICIARIOS DE OPORTUNIDADES",Instituto Nacional de Salud Pública,Lynnette Marie Neufeld,1,Trastornos de la Nutrición
Mecanismos Patogénicos de Falla Renal Aguda en Pacientes Graves por Influenza A H1N1,Instituto Nacional de Enfermedades Respiratorias,Magally Arcos Zamora,,Influenza
ESTUDIO MULTICÉNTRICO CON EL OBJETIVO DE VALIDAR LOS MÉTODOS DIAGNÓSTICOS UTILIZADOS PARA ESTIMAR LA TASA DE FILTRACIÓN GLOMERULAR EN LA POBLACIÓN MEXICANA.,"Instituto Nacional de Cardiología ""Ignacio Chávez""",Magdalena Madero Rovalo,2,Enfermedades crónicas o degenerativas
Papel de la Fructosa en la Obesidad y el Síndrome Metabólico,"Instituto Nacional de Cardiología ""Ignacio Chávez""",Magdalena Madero Rovalo,2,Trastornos de la Nutrición
Estudio de grupos centinela para la vigilancia epidemiológica del virus de la influenza A (H1N1) 2009,"Universidad Nacional Autónoma De México, UNAM",Malaquias López Cervantes,3,Influenza
evaluación de los factores genéticos y ambientales asociados a la enfermedad hepática.,"Universidad Nacional Autónoma De México, UNAM",MALAQUIAS LÓPEZ CERVANTES,3,ENFERMEDADES CRÓNICAS
EFECTO DE LA DIACEREÍNA SOBRE LA SECRECIÓN DE INSULINA EN PACIENTES CON DIABETES MELLITUS TIPO 2 Y SOBREPESO U OBESIDAD,Instituto Mexicano del Seguro Social,MANUEL GONZÁLEZ ORTIZ,3,Enfermedades crónicas o degenerativas
