Campo1,TITULO DEL PROYECTO
2009,"Estudio Fase 2 para evaluar la seguridad e inmunogenicidad_x000D_
de una vacuna contra la Influenza A (H1N1) 2009 a Base de_x000D_
Partículas Parecidas a Virus (PPV): Caracterización de los anticuerpos contra AH1N1 que confieren protección contra la in"
2006,"ESTUDIO FASE III, ALEATORIO MULTICÉNTRICO, QUE COMPARA QUIMIOTERAPIA Y RADIOTERAPIA CONCURRENTE CON Y SIN NITROGLICERINA, EN PACIENTES CON CÁNCER DE PULMÓN DE CÉLULAS NO PEQUEÑAS LOCALMENTE AVANZADO"
2008,ESTUDIO FITOQUÍMICO Y EVALUACIÓN DE PLANTAS MEDICINALES CON POTENCIAL EN EL CONTROL DE VECTORES TRASMISORES DE DENGUE HEMORRARAGICO.
2008,ESTUDIO IN VIVO E IN VITRO DEL EFECTO ANTITUMORAL DE PROBIÓTICOS EN CÁNCER DE COLON CON EL USO DE POLIAMINAS COMO BIOMARCADORES DEL DESARROLLO NEOPLASICO
2002,ESTUDIO INTEGRAL DE LA DEPRESIÓN EN EL ANCIANO. FACTORES DETERMINANTES Y RELACIÓN CON DETERIORO COGNITIVO .
2005,"ESTUDIO INTEGRAL DE LA HIPERTENSIÓN ARTERIAL: ASPECTOS BIOPSICOSOCIALES, EPIDEMIOLOGICOS, GENÉTICOS, INMUNOLÓGICOS, CULTURALES Y DE ESTILO DE VIDA QUE IMPACTAN EN EL PRONOSTICO, TRATAMIENTO Y CALIDAD DE VIDA DEL PACIENTE HIPERTENSO."
2006,"ESTUDIO INTEGRAL DEL ESTADO DE SALUD EN INDIVIDUOS OCUPACIONALMENTE EXPUESTOS A PLAGUICIDAS: BIOMARCADORES DE EFECTO, EXPOSICIÓN Y SUCEPTIBILIDAD GENÉTICA"
2002,ESTUDIO INTERINSTITUCIONAL E INTERDISCIPLINARIO DE: I. PREVALENCIA DE DEMENCIA EN EL ESTADO DE JALISCO. II. MARCADORES PERIFÉRICOS BIOQUÍMICOS Y MOLECULARES E IMAGENOLOGIA EN ENFERMEDAD ALZHEIMER. III. CENTRO DE ACOPIO DE CEREBROS HUMANOS
2005,ESTUDIO MOLECULAR DE GENES ASOCIADOS A INVASIÓN TROFOBLÁSTICA COMO PROBABLES MARCADORES PREDICTIVOS PARA EL DESARROLLO DE PREECLAMPSIA-ECLAMPSIA.
2008,ESTUDIO MOLECULAR DE LA CRIPTORQUIDIA IDIOPÁTICA _x000D__x000D_EN PACIENTES MEXICANOS
2008,ESTUDIO MULTICÉNTRICO CON EL OBJETIVO DE VALIDAR LOS MÉTODOS DIAGNÓSTICOS UTILIZADOS PARA ESTIMAR LA TASA DE FILTRACIÓN GLOMERULAR EN LA POBLACIÓN MEXICANA.
2004,ESTUDIO MULTICÉNTRICO DE INFECCIÓN POR VIRUS BK EN PACIENTES CON TRASPLANTE RENAL MEDIANTE SEGUIMIENTO DE LA EXPRESIÓN DE ARN MENSAJERO DE LA REGION VP1 EN ORINA
2008,ESTUDIO MULTICÉNTRICO DE LA CORRELACIÓN DEL GENOTIPO DE MDR1 (ABCB1) Y CYP3A5 CON EL PERFIL FARMACOCINÉTICO DEL TACROLIMUS EN NIÑOS CON TRASPLANTE RENAL
2007,ESTUDIO MULTICÉNTRICO DEL ESPECTRO ETIOLÓGICO DE LA UROLITIÁSIS EN NIÑOS
2009,ESTUDIO MULTICÉNTRICO PARA LA DETECCIÓN DE ANTICUERPOS CONTRA EL NUEVO VIRUS DE INFLUENZA A (H1N1)
2009,Estudio multicéntrico para la determinación de factores condicionantes de gravedad en pacientes infectados con el virus de influenza pandémico A (H1N1)2009
2005,ESTUDIO MULTICÉNTRICO Y MULTIDISCIPLINARIO PARA EL DIAGNÓSTICO CLÍNICO-MOLECULAR Y MANEJO DE NIÑOS MEXICANOS CON RETRASO MENTAL.
2007,ESTUDIO MULTIDISCIPLINARIO DE ENFERMEDADES REUMÁTICAS: UN ESTUDIO DE BASE POBLACIONAL
2012,Estudio para determinar el uso de la fragilidad como un indicador temprano de discapacidad en _x000D_adultos mayores rurales en México
2013,Estudio para la detección oportuna y tratamiento de los componentes del síndrome metabólico en adultos de comunidades marginales; una intervención comunitaria sustentable de prevención y control
2005,ESTUDIO PROSPECTIVO DE CÁNCER DE MAMA EN MÉXICO: MEDICIÓN BASAL Y PRIMER SEGUIMIENTO DETERMINANTES MARCADORES TEMPRANOS DE RIESGO Y PATRONES MAMOGRÁFICOS
2004,Estudio químico-biológico de Sphaeralcea angustifolia y desarrollo de procedimientos biotecnológicos y análisis metrológico para la obtención de un potencial fármaco antirreumático de aplicación típica.
2002,"ESTUDIO SOBRE LA HISTORIA NATURAL DE ÚLCERA DUODENAL Y CÁNCER GÁSTRICO ASOCIADOS A LA INFECCIÓN POR HELICOBACTER PYLORI; FACTORES AMBIENTALES, DEL HUÉSPED Y DE LA BACTERIA ASOCIADOS A ENFERMEDAD."
2007,ESTUDIO Y DESARROLLO DE UN EQUIPO DE RADIACIÓN ULTRASÓNICA ENFOCADA Y DE ALTA INTENSIDAD PARA EL TRATAMIENTO DE CÁNCER
2010,"Estudios de alteraciones cromosómicas, patrones de expresión genómica y de metilación en tumores de sistema nervioso central (ependimales) de pacientes pediátricos."
2007,ESTUDIOS DE FASE CLÍNICA II SOBRE LOS EFECTOS TERAPEÚTICOS ANTIADICTIVOS DE LA MIRTAZAPINA (REMERON) EN SUJETOS HUMANOS ADICTOS A COCAINA.
2012,e-TOX TELEMEDICINA PARA EL MANEJO COMUNITARIO DE LOS RIESGOS EN SALUD AMBIENTAL. ATENCIÓN A ZONAS VULNERABLES
2006,EVALUACIÓN DE UN PROGRAMA DE INTERRUPCIONES ESTRUCTURADAS DE TARAA EN CICLOS DE 4/12 SEMANAS EN NIÑOS CON SIDA Y CARGA VIRAL CRÓNICAMENTE INDETECTABLE
2002,EVALUACIÓN ANTROPOMETRICA DEL PIE DE UNA POBLACIÓN DE DIABÉTICOS PARA EL DISEÑO DE UN CALZADO ADECUADO PARA ESTE GRUPO DE RIESGO
2007,EVALUACIÓN CLÍNICA DEL EFECTO CICATRIZANTE EN ÚLCERAS VENOSAS DE MIEMBROS INFERIORES DEL FITOFÁRMACO MT-1 (MIMOSA TENUIFLORA CORTEX).
2009,"EVALUACIÓN CLÍNICA, INMUNOLOGICA Y OBSTÉTRICA DE EMBARAZADAS COMPLICADAS CON INFLUENZA"
2013,EVALUACIÓN DE ALTERNATIVAS DE TRIAGE EN MUJERES VPH POSITIVAS EN TLAXCALA: EL ESTUDIO FRIDA
2009,Evaluacion de blancos de inmunidad contra el virus dengue y su potencial aplicacion en la elaboración de candidatos a vacunas
2007,EVALUACIÓN DE CARACTERÍSTICAS PSICOSOCIALES DEL PACIENTE DIABÉTICO ADULTO MAYOR PARA EL DISEÑO DE PROGRAMAS DE APOYO A LA ADHERENCIA TERAPÉUTICA Y EL CONTROL GLICÉMICO
2009,EVALUACIÓN DE COMPUESTOS OBTENIDOS DE LA FLORA NATIVA DE LA REGIÓN SUR-SURESTE DE MÉXICO CON POTENCIAL ACTIVIDAD ANTIVIRAL CONTRA EL VIRUS DE INFLUENZA AH1N1
2013,"EVALUACIÓN DE DIVERSAS VARIANTES GENÉTICAS EN LOS GENES TLR4, TNFA, IL6 Y CD14 COMO POSIBLES MARCADORES DE SUSCEPTIBILIDAD EN EL DESARROLLO DE SEPSIS EN PACIENTES CON QUEMADURAS"
2005,EVALUACIÓN DE EFECTOS EN SALUD EN SITIOS CONTAMINADOS POR BIFENILOS POLICLORADOS (PCBS).
2012,"Evaluación de hongos entomopatógenos en conjunto con insecticidas químicos como una estrategia de control integrado de Aedes aegypti, vector del dengue en México"
2003,EVALUACIÓN DE IMPACTO DE OPORTUNIDADES EN LA MORTALIDAD Y MORBILIDAD MATERNA
2008,"EVALUACIÓN DE LA EFICACIA DEL TRANSPLANTE AUTOLOGO DE CÉLULAS MADRE HEMATOPOYÉTICAS DEL ADULTO MOVILIZADAS A SANGRE PERIFÉRICA MEDIANTE G-CSF (FILGRASTIM, NEUPOGEN) EN PACIENTES CON INFARTO AL MIOCARDIO ANTIGUO Y MALA FUNCIÓN CONTRACTIL ."
2010,EVALUACIÓN DE LA ACTIVIDAD LEISHMANICIDA DE COMPUESTOS QUÍMICOS DE ORIGEN NATURAL CON POTENCIAL TERAPÉUTICO EN EL TRATAMIENTO DE LA LEISHMANIASIS VISCERAL
2002,EVALUACIÓN DE LA ADICIÓN DE HIERRO QUELADO Y NO QUELADO A LOS ALIMENTOS INFANTILES
2004,EVALUACIÓN DE LA BIODISPONIBILIDAD DE UN CONCENTRADO DE HIERRO HEMO
2004,evaluación de la calidad del programa nacional de detección oportuna de Cáncer cervical. Cobertura efectiva y resultados de impacto
2004,evaluación de la competencia de los miembros de los comités de investigación sobre los aspectos de la ética de la investigación en seres humanos.
2008,EVALUACIÓN DE LA CONTAMINACIÓN POR HIDROCARBUROS POLICÍCLICOS AROMÁTICOS EN LAS HOJAS DE LOS ÁRBOLES.
2012,EVALUACIÓN DE LA DINÁMICA VESICAL EN NIÑOS CON OBESIDAD Y OBESIDAD EXTREMA CON UROFLUJOMETRIA EN PACIENTES DEL HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DEL BAJIO
2010,"Evaluación de la efectividad de la terapia de marcha con control de velocidad, longitud de paso y cadencia por medio de estímulos visuales, auditivos y atencionales en la rehabilitación de la enfermedad de Parkinson"
2008,EVALUACIÓN DE LA EFECTIVIDAD Y LA TOLERABILIDAD TERAPÉUTICA DE UN EXTRACTO DE AGERATINA PICHINCHENSIS A UNA CONCENTRACIÓN DEL 10% Y 20% COMO TRATAMIENTO DE TINEA PEDIS EN SU VARIEDAD INTERDIGITAL
2002,"EVALUACIÓN DE LA EVOLUCION CLÍNICA Y DE LA PRESCRIPCIÓN FÁRMACOLÓGICA QUE RECIBEN PACIENTES DIABÉTICOS TIPO 2 CON HIPERTENSIÓN ARTERIAL E HIPERCOLESTEROLEMIA EN PRIMER NIVEL DE ATENCIÓN, A TRAVES DE UNA RED DE BASES DE DATOS."
2010,"Evaluación de la exposición a compuestos orgánicos persistentes y metales pesados, así como los potenciales efectos en salud de mujeres embarazadas y sus recién nacidos en dos sitios de México"
2007,"EVALUACIÓN DE LA EXPOSICIÓN A DIOXINAS Y FURANOS, Y LOS EFECTOS POTENCIALES A LA SALUD DE LOS BINOMIOS MADRE-HIJO DE LA LOCALIDAD DE STA. ANA XALMIMILULCO, PUEBLA"
2011,"Evaluación de la exposición a manganeso y sus efectos en salud en la población residente de un distrito minero en Hidalgo, a partir de la implementación de medidas de control en las fuentes de emisión."
2009,"Evaluación de la exposición a plaguicidas utilizando una prueba tamiz, en mujeres embarazadas y sus recién nacidos, para la detección temprana de un factor de riesgo para la salud."
2009,Evaluación de la expresión del factor supresor de la señalización de citocinas (SOCS-3) como condicionante de susceptibilidad y gravedad a la infección con el virus pandémico A/H1N1 en personas con obesidad
2008,EVALUACIÓN DE LA FRECUENCIA Y CARACTERIZACIÓN DE MUTACIONES EN EL GEN FBXW7 Y SU ASOCIACIÓN A QUIMIORESITENCIA EN PACIENTES CON LINFOMA
2002,"EVALUACIÓN DE LA INGESTIÓN DE FITOESTROGENOS POR MUJERES QUE CONSUMEN LA DIETA RURAL Y URBANA MEXICANA, MEDIANTE LA MEDICION DE LA CONCENTRACION DE FITOESTROGENOS EN PLASMA Y SU EXCRECION EN ORINA, Y SU ASOCIACIÓN CON LOS NIVELES DE COLESTEROL"
2012,"Evaluación de la interacción entre el consumo de macronutrimentos y el perfil de la microbiota del colon distal y su asociación con obesidad infantil, en población mexicana"
2009,"EVALUACIÓN DE LA LATENCIA AL ESTIMULO VISUAL, AUDITIVO Y SOMATOSENSORIAL EN PACIENTES BRADICINÉTICOS CON ENFERMEDAD DE PARKINSON SOMETIDOS A PALIDOTOMIA UNILATERAL"
2010,EVALUACIÓN DE LA POTENCIALIDAD DE UNA FORMA DE USO DE LA GRANADA ROJA (Punica granatum L.) EN EL CONTROL DE LA EUGLICEMIA E INHIBICIÓN DE LA FORMACIÓN DE ATEROSCLEROSIS EMPLEANDO UN MODELO ANIMAL DIABETIZADO Y ATEROGÉNICO
2003,evaluación de la presencia de linfocitos NKT que expresan la molécula CRTAM en pacientes con diabetes tipo 1 y en sus familiares de primer grado
2003,"EVALUACIÓN DE LA REDUCCIÓN DE FUENTES AEREAS DE PLOMO EN UNA MUESTRA DE MENORES DE 15 AÑOS DEL DISTRITO FEDERAL, 1998 Y 2003 - 2004."
2011,EVALUACIÓN DE LA SALUD AMBIENTAL INFANTIL DE UNA COMUNIDAD DEL ESTADO DE MÉXICO
2004,evaluación de la vacunación contra Streptococcus pneumoniae a través del seguimiento del estado de portador en niños mexicanos menores de 2 años de edad.
2008,EVALUACIÓN DE LAS CÉLULAS T CD8+ NKT-LIKE DE SANGRE PERIFÉRICA Y CAMBIOS CITOPÁTICOS VIRALES EN CITOLÓGICAS CERVICALES.
2002,EVALUACIÓN DE LAS CONDICIONES DE TRABAJO Y ESTRES DURANTE EL EMBARAZO EN MUJERES DERECHOHABIENTES DEL IMSS.
2009,"Evaluación de las mutaciones G2019S y G2385A del GEN LRRK2, y los polimorfismos AI0398G y T4336C del ADNmitocondrial como marcadores genéticos de riesgo de la enfermedad de Parkinson no familiar en pacientes mestizos mexicanos"
2013,evaluación de las posibilidades de la estimulación vagal en el control de la neuroinflamación
2005,"EVALUACIÓN DE LAS VARIANTES ALÉLICAS *1B, *2, *4, *5 Y *6 DEL GEN CYP3A4 EN LA POBLACIÓN MEXICANA Y SU ASOCIACIÓN CON EL RIESGO A DESARROLLAR CÁNCER DE PROSTATA."
2011,"EVALUACIÓN DE LOS ANTICUERPOS ANTI-PADI4 COMO UN NUEVO MARCADOR SEROLÓGICO EN LA VALORACIÓN CLÍNICA EN ARTRITIS REUMATOIDE Y SU CORRELACIÓN CON HAPLOTIPOS FUNCIÓNALES, EXPRESIÓN ALÉLICA Y ACTIVIDAD ENZIMÁTICA DE PADI4."
2005,EVALUACIÓN DE LOS CAMBIOS SECULARES EN LA UTILIZACIÓN DE LOS SERVICIOS DE PREVENCIÓN Y TRATAMIENTO EN EL PRIMER NIVEL EN LA ATENCIÓN DE FACTORES DE RIESGO CARDIOVASCULAR EN POBLACIÓN ABIERTA URBANA DE NIVEL SOCIOECONÓMICO BAJO.
2004,"EVALUACIÓN DE LOS EFECTOS EN LA SALUD RESPIRATORIA DE UNA MUESTRA DE NIÑOS EXPUESTOS A LAS PARTICULAS DE DIOXIDO DE AZUFRE EMITIDAS POR UNA TERMOELECTRICA EN MANZANILLO, COLIMA."
2013,evaluación de los factores genéticos que predisponen al desarrollo de Lupus Eritematoso Sistémico en niños y adultos en población mestiza mexicana
2013,evaluación de los factores genéticos y ambientales asociados a la enfermedad hepática.
2007,"EVALUACIÓN DE LOS MARCADORES MOLECULARES ASOCIADOS A LAS DEMENCIAS VASCULARES, MIXTA Y ENFERMEDAD DE ALZHEIMER EN POBLACIÓN MEXICANA, PARA EL DESARROLLO DE PRUEBAS DE DIAGNÓSTICO CONFIABLES Y DESARROLLO DE CENTROS DE ATENCIÓN INTEGRAL AL PACIENTE."
2004,evaluación de los riesgos a la salud por la exposición a metales pesados en habitantes de cuatro municipios aledaños al lago de Chapala
2012,Evaluación de marcadores de daño renal temprano en una población expuesta a fluoruro a través del agua de bebida.
2002,EVALUACIÓN DE MARCADORES DE ESTRES OXIDATIVO EN NIÑOS ASMATICOS POR EXPOSICIÓN A DIESEL EN LA CIUDAD DE MÉXICO
2010,Evaluación de marcadores de inflamación en aire exhalado y su relación con síntomas respiratorios y caída de función pulmonar en una cohorte de mujeres rurales que cocinan con leña.
2011,"EVALUACIÓN DE MARCADORES GENÉTICOS, ESTRÉS OXIDATIVO Y GENOTOXICIDAD EN MUJERES CON PREECLAMPISA EXPUESTAS A ARSENICO DEL ESTADO DE DURANGO"
2007,EVALUACIÓN DE MARCADORES MOLECULARES CANDIDATOS PARA EFECTUAR PRONÓSTICO DE PARTO PRETÉRMINO.
2011,evaluación de marcadores moleculares de la vía de señalización Notch para el _x000D_diagnóstico y tratamiento de Cáncer cervicouterino.
2010,"Evaluación de Métodos Inmunológicos de Diagnostico para la Detección del Virus de la Hepatitis B (VHB), Detección del DNA Viral y Determinación de Genotipos en Donadores de Sangre y Grupos de Alto Riesgo."
2005,EVALUACIÓN DE PROGRAMAS DE PREVENCIÓN EN EL CAMPO DE LAS ADICCIONES
2006,EVALUACIÓN DE RECURRENCIA EN PACIENTES CON CARCINOMA CERVICOUTERINO EN ETAPAS CLÍNICAS IIB A IIIB POSTERIOR AL TRATAMIENTO CON QUIMIO-RADIACIÓN O RADIOTERAPIA SOLA
2005,"EVALUACIÓN DE RIESGO GENÉTICO PARA LITIASIS URINARIA ASOCIADO A POLIMORFISMOS EN LOS GENES ZNF365, VEGF Y VDR EN UNA POBLACIÓN DE YUCATÁN."
2012,"Evaluación de riesgos en la salud humana de Todos Santos, BCS, por ingestión de aguas contaminadas por plaguicidas organoclorados y metales pesados"
2013,"evaluación de Técnicas Rápidas, Novedosas y de Bajo Costo para la detección Bidireccional de la Tuberculosis (TB) y de la Diabetes Mellitus Tipo 2 (DM) en México"
2008,EVALUACIÓN DE UN MÉTODO ALTERNO DE TOMA DE MUESTRA SANGUINEA PARA EL DIAGNÓSTICO DE DENGUE CLASICO Y HEMORRAGICO EN PACIENTES DE LA COSTA DE CHIAPAS
2004,evaluación de un modelo de atención para pacientes con diabetes mellitus tipo 2 e hipertensión arterial con la participación de enfermeras de atención primaria
2007,"EVALUACIÓN DE UN PROGRAMA DE EDUCACIÓN PREVENTIVA: MUSEO DE CIENCIAS _x000D_
PREVENCIÓN DEL USO Y ABUSO DE DROGAS EN ADOLESCENTES"
2007,"EVALUACIÓN DE UNA ESTRATEGIA DE INTERVENCIÓN COMUNITARIA PARA PREVENIR LAS PRINCIPALES COMPLICACIONES MATERNAS EN UNA COMUNIDAD MAYA DE YUCATÁN, MÉXICO."
2005,EVALUACIÓN DE UNA ESTRATEGIA EDUCATIVA PARA LA MEJORA DE LA VIGILANCIA PRENATAL EN UNIDADES DE PRIMER NIVEL DEL SECTOR SALUD DE LA DELEGACON TLALPAN
2005,EVALUACIÓN DE UNA PROTEÍNA TRANSMEMBRANAL COMO MARCADOR TEMPRANO DE LA APARICIÓN DE HEPATOCARCINOMA EN PACIENTES CON HEPATOPATÍA CRÓNICA SECUNDARIA A INFECCIÓN POR VIRUS DE LA HEPATÍTIS C
2002,EVALUACIÓN DEL DESEMPEÑO DE LOS SERVICIOS DE SALUD PREVENTIVOS EN EL INSTITUTO MEXICANO DEL SEGURO SOCIAL. MEDICION DE COBERTURAS
2005,EVALUACIÓN DEL EFECTO ANTIVIRAL DE LOS ANTIINFLAMATORIOS NO ESTEROIDES EN PACIENTES CON HEPATITIS C
2011,Evaluación del efecto combinado de Ademetionina (S-Adenosyl Metionina) y la terapia estándar de IFN (PEG-IFN-alfa y Ribavirina) en la replicación del VHC: estudio in vitro y en pacientes con Hepatitis C
2009,Evaluación del efecto condroprotector del menisco de bioingenería en un modelo ovino de osteoartritis.
2004,EVALUACIÓN DEL EFECTO DE HIDROLIZADOS PROTEICOS Y/O PROTEÍNAS DE MATRIZ EXTRACELULAR MODIFICADAS EN LA INFLAMACIÓN Y EL RECAMBIO DE LA MATRIZ EXTRACELULAR DEL CARTILAGO Y LA MEMBRANA SINOVIAL DE PACIENTES CON OSTEARTRITIS (OA) O ARTRITIS REUMATOIDE (AR).
2008,"EVALUACIÓN DEL EFECTO DE LA EXPOSICIÓN AMBIENTAL A PAHS SOBRE EL DAÑO AL ADN Y LA PARTICIPACIÓN DE FACTORES GENÉTICOS DE SUSCEPTIBILIDAD EN UNA POBLACIÓN INFANTIL DE COATZACOALCOS, VERACRUZ"
2007,EVALUACIÓN DEL EFECTO DE UN PROGRAMA DE VACUNACIÓN CONTRA LA CISTICERCOSIS PORCINA APLICADO EN LA SIERRA DE HUATLA DEL ESTADO DE MORELOS EN MÉXICO EN LA TRASMISION DE LA TENIASIS/CISTICERCOSIS
2008,EVALUACIÓN DEL EFECTO EN LA ADIPOGÉNESIS DE UNA CAPSAICINA OBTENIDA POR SÍNTESIS ENZIMÁTICA.
2012,Evaluación del efecto inmunomodulador de la suplementación con zinc en la evolución clínica de niños con neumonía
2010,EVALUACIÓN DEL EFECTO UN MODELO DE INTERVENCIÓN MÚLTIPLE EN PACIENTES CON DIABETES MELLITUS TIPO 2 Y NEFROPATÍA TEMPRANA SOBRE LA PROGRESIÓN DE LA INSUFICIENCIA RENAL CRÓNICA
2010,EVALUACIÓN DEL EMPLEO DE CÉLULAS DENDRÍTICAS COMO TRATAMIENTO PARA SUPRIMIR LAS RESPUESTAS DE LINFOCITOS AUTORREACTIVOS EN PACIENTES CON DIABETES MELLITUS TIPO 1
2013,evaluación del factor de transcripción Nrf2 como posible blanco terapéutico en pacientes con diabetes mellitus tipo 2 y su asociación con polimorfismos en la región promotora.
2012,"EVALUACIÓN DEL IMPACTO DE GENES DEL METABOLISMO DE XENOBIÓTICOS (CYP1A1, CYP1B1, CYP2C19, CYP2D6, CYP17 Y CYP19) SOBRE EL CÁNCER DE MAMA EN MÉXICO"
2004,evaluación del impacto de tres estrategias en la provisión de los servicios de salud a ancianos asegurados por el IMSS
2005,EVALUACIÓN DEL IMPACTO DEL CONTROL DE LA DIABETES SOBRE LA TRANSMISIÓN Y DESARROLLO DE LA TUBERCULOSIS EN POBLACIÓN GENERAL
2011,Evaluación del Impacto en Salud por exposición a contaminantes atmosféricos criterio en 26 ciudades de México.
2012,"EVALUACIÓN DEL PAPEL NEUROPROTECTOR DEL ÁCIDO ÚRICO Y SU RELACIÓN CON EL DESARROLLO, PROGRESIÓN Y RECUPERACIÓN FUNCIONAL DE PACIENTES CON ENFERMEDAD DE PARKINSON, ENFERMEDAD DE ALZHEIMER, ESCLEROSIS MÚLTIPLE Y ENFERMEDAD VASCULAR CEREBRAL"
2008,EVALUACIÓN DEL PERFIL DE INMUNOGLOBULINAS SÉRICAS CONTRA ANTÍGENOS DE HPV COMO SISTEMA DE DIAGNÓSTICO TEMPRANO PARA DETECTAR A MUJERES EN RIESGO DE DESARROLLAR LESIONES EN EL CÉRVIX UTERINO
2010,Evaluación del perfil de micrornas en sangre periférica de pacientes con neumonía grave asociada a la infección por el virus A/H1N1.
2005,EVALUACIÓN DEL PERIODO DE REBOTE DE ADIPOSIDAD PARA LA PREVENCIÓN DE LA OBESIDAD
2012,Evaluación del proceso de atención a la salud en la Enfermedad Vascular Cerebral en ancianos mayores de 60 años en Unidades Médicas y Hospitalarias del IMSS
2012,Evaluación del riesgo genético a obesidad basado en la variación del número de copias (CNVs) y del SNP rs9939609 del gen FTO en niños mestizos de Yucatán.
2011,"EVALUACIÓN DEL SISTEMA DE VIGILANCIA Y PROMOCIÓN DEL DESARROLLO INTEGRAL DEL NIÑO. ESTUDIOS DE VALIDEZ CONCURRENTE E IMPACTO, Y DISEÑO DE ESTRATEGIAS DE CAPACITACIÓN."
2009,EVALUACIÓN DINÁMICA DE PRESIONES EN ASIENTOS DE SILLAS DE RUEDAS MANUALES
2011,Evaluación e inducción de la respuesta inmune innata en pacientes geriátricos
2005,EVALUACIÓN ECONÓMICA DE DOS ESQUEMAS DE ATENCIÓN HOSPITALARIA DE PADECIMIENTOS PSIQUIÁTRICOS EN EL IMSS
2013,"evaluación entomo-epidemiológica de un biocontrol del dengue: Liberaciones de machos de Aedes aegypti para diseminar vía cópula, conidias de Metarhizium anisopliae a las hembras y reducir sus poblaciones y transmisión viral en Reynosa, Tamaulipas."
2009,"EVALUACIÓN POBLACIONAL DE VARIANTES EN LOS GENES ABCA1 y FTO ASOCIADAS A METABOLISMO DE LIPIDOS Y OBESDIDAD, EN UNA MUESTRA PROBABILISTICA DE REPRESENTATIVIDAD NACIONAL DE LOS DERECHOHABIENTES DEL ISSSTE"
2013,"evaluación y acciones de continuidad de una estrategia integral de intervención comunitaria en salud ambiental en Alpuyeca, Morelos."
2006,EVALUACIÓN Y DESARROLLO DE UN MÉTODO MOLECULAR VINCULADO CON UN AGAR CROMOGÉNICO PARA LA APLICACIÓN EN BROTES EPIDEMIOLÓGICOS CAUSADOS POR VIBRIO PARAHAEMOLYTICUS TOXIGÉNICO
2007,EVALUAR LA EFECTIVIDAD E IMPACTO DE LA APLICACIÓN DE UN PROGRAMA DE ESTIMULACIÓN COGNITIVA EN ANCIANOS CON DEMENCIA
2007,EVALUAR LA PRESENCIA DE AUTOANTICUERPOS ANTI-AQUAPORINA-4 EN SUERO DE PACIENTES CON DIAGNÓSTICO DE ESCLEROSIS MÚLTIPLE PATRÓN CLÍNICO DE BROTE REMISIÓN (EM-BR)
2006,"EVALUCIÓN DE MARCADORES DE RIESGO GENÉTICOS, BIOQUÍMICOS Y ANTROPOMÉTRICOS EN PACIENTES OBESOS Y DIABÉTICOS CON HÍGADO GRASO"
2004,EVOLUCION DE LA HIPERTENSIÓN ARTERIAL Y LA EFECTIVIDAD DE SU TRATAMIENTO EN EL IMSS: UNA COHORTE PARA LA EVALUACIÓN DE RESULTADOS EN SALUD
2012,Expansión aberrante de células T CD4+NKG2D+ con fenotipo supresor en pacientes con carcinoma invasor del cuello uterino
2008,EXPANSIÓN PRE-CLÍNICA DE CÉLULAS TRONCALES MESENQUIMALES HUMANAS Y EVALUACIÓN DE SU CAPACIDAD INMUNOSUPRESORA PARA EL TRATAMIENTO DE LA ENFERMEDAD INJERTO CONTRA HOSPEDERO EN PACIENTES CON NEOPLASIAS HEMATOLÓGICAS POSTERIOR AL TRANSPLANTE DE MÉDULA
2007,EXPOSICIÓN A CAMPOS ELECTROMAGNÉTICOS ASOCIADOS AL DESARROLLO DE LEUCEMIA AGUDA EN NIÑOS CON ALTA SUSCEPTIBILIDAD A LA ENFERMEDAD RESIDENTES DE LA CIUDAD DE MÉXICO
2011,EXPOSICIÓN A FTALATOS EN NIÑOS DE MÉXICO Y SU ASOCIACIÓN CON LA FUNCIÓN TIROIDEA Y SUS EFECTOS NEUROTÓXICOS
2007,"EXPOSICIÓN A HUMO DE TABACO AMBIENTAL, SALUD Y PRODUCTIVIDAD EN TRABAJADORES DE BARES Y RESTAURANTES"
2008,"EXPOSICIÓN A PLAGUICIDAS Y EFECTOS EN SALUD EN POBLACIONES INFANTILES DE LA ZONA PLATANERA DEL SOCONUSCO, CHIAPAS"
2005,EXPOSICIÓN AL HUMO DE TABACO AMBIENTAL EN LUGARES PÚBLICOS Y HOGARES EN LAS PRINCIPALES CIUDADES DE MÉXICO
2010,Exposición al plomo y deterioro del funcionamiento renal en la población de Yucatán.
2003,Exposición de ftalatos por procedimientos médicos en recien nacidos varones y evaluación de sus efectos en la función gonadal
2002,"EXPOSICIÓN OCUPACIONAL COMO FACTOR ASOCIADO A LA PRESENCIA DE CÁNCER PULMONAR, TUMOR MALIGNO DE SISTEMA NERVIOSO CENTRAL Y LEUCEMIA AGUDA EN TRABAJADORES ASEGURADOS AL INSTITUTO MEXICANO DEL SEGURO SOCIAL"
2013,"Exposición prenatal a disruptores endocrinos y el riesgo de sobrepeso, obesidad y pubertad temprana en población escolar mexicana: Un estudio de cohorte"
2009,EXPRESIÓN DE CLAUDINAS EN BIOPSIAS DE PACIENTES POSITIVOS A HELICOBACTER PYLORI Y SU RELACIÓN CON LA CARCINOGÉNESIS GÁSTRICA.
2012,"EXPRESIÓN DE GENES INVOLUCRADOS EN LA VÍA Wnt--CATENINA _x000D_
EN PACIENTES CON SÍNDROME X-FRÁGIL"
2013,EXPRESIÓN DE MICRORNAS COMO MARCADORES PARA EL DIAGNÓSTICO TEMPRANO Y PRONÓSTICO DEL CÁNCER CERVICAL
