Proyecto,Institucion,Colaborador,Nivel,Inst Colaborador,Especialidad
ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD,"Universidad Nacional Autónoma De México, UNAM",Gilberto Castañeda Hernández,Nivel 2,Centro de Investigación y de Estudios Avanzados del I.P.N. (Cinvestav),Farmacología
ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD,"Universidad Nacional Autónoma De México, UNAM",Andrés Navarrete Castro,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",Farmacología
ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD,"Universidad Nacional Autónoma De México, UNAM",Paul Hersch Martínez,Nivel 2,Instituto Nacional De Antropología e Historia,Medicina
ANÁLISIS DE LA EXPRESIÓN DE SMAC/DIABLO EN EL CÁNCER DE MAMA.,Instituto Nacional de Medicina Genómica (INMEGEN),DAVID CANTÚ DE LEÓN,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",ONCOLOGÍA GINECOLÓGICA
ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD,"Universidad Nacional Autónoma De México, UNAM",María Isabel Aguilar Laurents,Nivel 1,"Universidad Nacional Autónoma De México, UNAM",QUÍMICA Y FARMACÉUTICA
ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD,"Universidad Nacional Autónoma De México, UNAM",Mabel Clara Fragoso Serrano,Candidato,"Universidad Nacional Autónoma De México, UNAM",Análisis conformacional
ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD,"Universidad Nacional Autónoma De México, UNAM",Rogelio Pereda Miranda,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",Productos Naturales
ELABORACIÓN DE MONOGRAFÍAS CIENTÍFICAS DE PLANTAS SELECTAS DE AMPLIO USO EN LA MEDICINA TRADICIONAL MEXICANA CON BASE EN LOS CRITERIOS PROPUESTOS POR LA ORGANIZACIÓN MUNDIAL DE LA SALUD,"Universidad Nacional Autónoma De México, UNAM",Isabel Rivero Cruz,,"Universidad Nacional Autónoma De México, UNAM",terpenoides y alcaloides
ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",MARIA DE LA PAZ TAPIA MENDIETA,,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",ANÁLISIS MICROBIOLÓGICO
ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",DANIEL PADILLA PINEDA,,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",FERMENTACIONES
ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",Antonio Sánchez Sánchez,,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",FERMENTACIONES Y PURIFICACIÓN DE PROTEÍNAS
ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",J Francisco Reta Mares,,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",MICROBIOLOGÍA
ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",JORGE FERNANDO GÓMEZ HERRERA,,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",PRODUCCIÓN DE BIOLÓGICOS
ELABORACIÓN DE UNA VACUNA PERTUSSIS ACÉLULAR DE DOS COMPONENTES,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",RAMONA ROJAS GALVÁN,,"Laboratorios de Biológicos y Reactivos de México, (BIRMEX), S.A. de C.V.",PURIFICACIÓN DE POLÍMEROS
ELABORACIÓN DE UNA VACUNA RECOMBINANTE POLIVALENTE CONTRA VARIEDADES MEXICANAS DEL VIRUS DE INFLUENZA AVIAR UTILIZANDO COMO VECTOR EL VIRUS NEWCASTLE,"Investigación Aplicada, S.A. de C.V.",Donaji García López,,Investigación Aplicada S.A de C.V.,PRODICCIÓN ANIMAL
ELABORACIÓN DE UNA VACUNA RECOMBINANTE POLIVALENTE CONTRA VARIEDADES MEXICANAS DEL VIRUS DE INFLUENZA AVIAR UTILIZANDO COMO VECTOR EL VIRUS NEWCASTLE,"Investigación Aplicada, S.A. de C.V.",Ángel Eduardo Absalón Constantino,,Instituto Politécnico Nacional I.P.N.,TECNOLOGÍA DE ADN RECOMBINANTE
ELABORACIÓN DE UNA VACUNA RECOMBINANTE POLIVALENTE CONTRA VARIEDADES MEXICANAS DEL VIRUS DE INFLUENZA AVIAR UTILIZANDO COMO VECTOR EL VIRUS NEWCASTLE,"Investigación Aplicada, S.A. de C.V.",DIANA VERÓNICA CORTÉS ESPINOSA,Candidato,Instituto Politécnico Nacional I.P.N.,ANÁLISIS INFORMÁTICO DE SECUENCIAS DE ADN
ELABORACIÓN DE UNA VACUNA RECOMBINANTE POLIVALENTE CONTRA VARIEDADES MEXICANAS DEL VIRUS DE INFLUENZA AVIAR UTILIZANDO COMO VECTOR EL VIRUS NEWCASTLE,"Investigación Aplicada, S.A. de C.V.",ANDRES MORÁLES GARZÓN,,Investigación Aplicada S.A de C.V.,SEROTIPIFICACIÓN
Elaboración y evaluación de una vacuna de ADN universal contra la influenza A,"Instituto Politécnico Nacional, I.P.N.",EDUARDO LUCIO DECANINI,,Investigación Aplicada S.A de C.V.,Medicina Veterinaria
Elaboración y evaluación de una vacuna de ADN universal contra la influenza A,"Instituto Politécnico Nacional, I.P.N.",LILIANA MARISOL MORENO VARGAS,Candidato,,BIOINFORMÁTICA
Elaboración y evaluación de una vacuna de ADN universal contra la influenza A,"Instituto Politécnico Nacional, I.P.N.",Claudio Afonso,,Southeast Poultry Research Laboratory del Agricultural Research Service de la USDA de los Estados Unidos,
Elaboración y evaluación de una vacuna de ADN universal contra la influenza A,"Instituto Politécnico Nacional, I.P.N.",Julio Roberto Reyes Leyva,Nivel 1,Instituto Mexicano del Seguro Social,Virología molecular
Embarazo adolescente y deserción escolar: explorando el papel del entorno sociofamiliar y escolar en la promoción de la salud sexual y reproductiva y en la construcción de proyectos de vida y desarrollo personal de los(as) adolescentes.,Instituto Nacional De Salud Pública,LEONOR RIVERA RIVERA,Nivel 1,Instituto Nacional De Salúd Pública,salud Reproductiva
Embarazo adolescente y deserción escolar: explorando el papel del entorno sociofamiliar y escolar en la promoción de la salud sexual y reproductiva y en la construcción de proyectos de vida y desarrollo personal de los(as) adolescentes.,Instituto Nacional De Salud Pública,María de Lourdes Eugenia Campero Cuenca,,Instituto Nacional De Salúd Pública,educación y salud reproductiva
Embarazo adolescente y deserción escolar: explorando el papel del entorno sociofamiliar y escolar en la promoción de la salud sexual y reproductiva y en la construcción de proyectos de vida y desarrollo personal de los(as) adolescentes.,Instituto Nacional De Salud Pública,CRISTINA MARIA HERRERA CARNEVALE,Candidato,Instituto Nacional De Salúd Pública,Políticas Públicas
Embarazo adolescente y deserción escolar: explorando el papel del entorno sociofamiliar y escolar en la promoción de la salud sexual y reproductiva y en la construcción de proyectos de vida y desarrollo personal de los(as) adolescentes.,Instituto Nacional De Salud Pública,Marta Caballero García,Nivel 1,Instituto Nacional De Salúd Pública,salud sexual Reproductiva
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,ADRIANA HERNÁNDEZ ÁNGELES,,"Instituto Mexicano del Seguro Social - HOSPITAL DE PEDIATRÍA UIMEIP, CMN SXXI",CULTIVO CELULAR
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,María del Pilar Eguía Aguilar,,Hospital Infantil De México Federico Gómez - SERVICIO DE PATOLOGÍA,BIOLOGÍA MOLECULAR
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,JORGE VAZQUEZ LANGLE,,"Instituto Mexicano del Seguro Social - HOSPITAL DE PEDIATRÍA, SERVICIO DE CIRUGÍA, CMN SXXI",CIRUGÍA DE TUMORES PEDIÁTRICOS
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,FERNANDO CEREZEDO DÍAZ,,"Instituto Mexicano del Seguro Social - HOSPITAL DE PEDIATRÍA, DEPARTAMENTO DE ONCOLOGÍA CMN SXXI",ONCOLOGÍA PEDIÁTRICA
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,HUGO FEDERICO RIVERA MARQUEZ,,"Instituto Mexicano del Seguro Social - HOSPITAL DE PEDIATRÍA, DEPARTAMENTO DE ONCOLOGÍA CMN SXXI",ONCOLOGÍA PEDIÁTRICA
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,AURORA MEDINA SANSORES,Nivel 1,Hospital Infantil De México Federico Gómez - SERVICIO DE ONCOLOGÍA,ONCOLOGÍA PEDIÁTRICA
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,GUILLERMO RAMÓN GARCÍA,,"Instituto Mexicano del Seguro Social - HOSPITAL DE PEDIATRÍA, SERVICIO DE PATOLOGÍA, CMN SXXI",PATOLOGÍA PEDIÁTRICA
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,Stanislaw Sadowinski Pine,,Hospital Infantil De México Federico Gómez - SERVICIO DE PATOLOGÍA,PATOLOGÍA PEDIÁTRICA
"EMPLEO DE LA TRANSCRIPCION INVERSA Y REACCIÓN DE POLIMERASA EN CADENA (RT-PCR) PARA PRECISAR EL DIAGNÓSTICO DE TUMORES DE CÉLULAS PEQUEÑAS REDONDAS Y AZULES EN NIÑOS, Y SU VALORACION INICIAL PARA DETERMINAR ENFERMEDAD RESIDUAL MÍNIMA.",Instituto Mexicano del Seguro Social,MARIA DEL LOURDES CABRERA MUÑOZ,,Hospital Infantil De México Federico Gómez - SERVICIO DE PATOLOGÍA,PATOLOGÍA PEDIÁTRICA
ENCUESTA SOBRE LAS POSIBLES ACTITUDES Y REACCIONES DE LOS DERECHOHABIENTES DEL ISSSTE ANTE LAS PRUEBAS GENÓMICAS DE RIESGO DE CÁNCER,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",ANTONIO RAFAEL VILLA ROMERO,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",EPIDEMIOLOGÍA
ENCUESTA SOBRE LAS POSIBLES ACTITUDES Y REACCIONES DE LOS DERECHOHABIENTES DEL ISSSTE ANTE LAS PRUEBAS GENÓMICAS DE RIESGO DE CÁNCER,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",NORA ALICIA URRACA GUTIÉRREZ,Candidato,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",GENÉTICA MEDICA
ENCUESTA SOBRE LAS POSIBLES ACTITUDES Y REACCIONES DE LOS DERECHOHABIENTES DEL ISSSTE ANTE LAS PRUEBAS GENÓMICAS DE RIESGO DE CÁNCER,"Instituto de Seguridad y de Servicios Sociales para los Trabajadores Del Estado, ISSSTE",RUBÉN LISKER YURKOWITZ,Emérito,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",GENÉTICA MÉDICA
ENFERMEDAD CARDIOVASCULAR EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABÉTICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2,Universidad Autónoma De Querétaro,HEBERT LUIS HERNÁNDEZ MONTIEL,Candidato,Universidad Autónoma de Querétaro,
ENFERMEDAD CARDIOVASCULAR EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABÉTICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2,Universidad Autónoma De Querétaro,MARCO ANTONIO ALCOCER GAMBA,,INSTITUTO DE CORAZON DE QUERETARO,
ENFERMEDAD CARDIOVASCULAR EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABÉTICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2,Universidad Autónoma De Querétaro,María Ludivina Robles Osorio,Candidato,Universidad Autónoma de Querétaro,
ENFERMEDAD CARDIOVASCULAR EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABÉTICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2,Universidad Autónoma De Querétaro,ERNESTO FRANCISCO SABATH SILVA,,UNIVERSIDAD DEL VALLE DE MEXICO,
ENFERMEDAD CARDIOVASCULAR EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABÉTICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2,Universidad Autónoma De Querétaro,JUAN CARLOS SOLIS SAINZ,Candidato,Universidad Autónoma de Querétaro,
ENFERMEDAD CARDIOVASCULAR EN ESTADIOS TEMPRANOS DE LA NEFROPATÍA DIABÉTICA EN POBLACIÓN MEXICANA CON DIABETES MELLITUS-2,Universidad Autónoma De Querétaro,Pablo García Solís,Nivel 1,Universidad Autónoma de Querétaro,
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,Luis Alonso Herrera Montalvo,Nivel 3,"Instituto Nacional De Cardiología ""Ignacio Chavez""",BIOLOGÍA HUMANA
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,Jorge Meléndez Zajgla,Nivel 1,"Instituto Nacional De Cardiología ""Ignacio Chavez""",BIOLOGÍA CELULAR
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,SAHOTRA SARKAR,,"University of Texas, United States","INFORMATICA, BIOLOGÍA DE LA CONSERVACION Y BIOETICA"
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,VILMA ARACELI MALDONADO LAGUNAS,Nivel 2,"Instituto Nacional De Cardiología ""Ignacio Chavez""",BIOLOGÍA MOLECULAR
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,CLEMENTINA CASTRO HERNÁNDEZ,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",INVESTIGACIÓN BIOMÉDICA BÁSICA
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,REBECA FRANCO BOURNET,Nivel 2,Instituto Nacional de Rehabilitación,BIOQUÍMICA
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,MARIA DE JESUS URIBE DOMINGUEZ,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",ENFERMERíA
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,FLORENCIA VARGAS VORACKOVA,Nivel 2,"Instituto Nacional De Ciencias Medicas Y La Nutrición ""Salvador Zubiran""",GASTROENTEROLOGIA
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,Lucely del Carmen Cetina Pérez,Nivel 1,"Instituto Nacional De Cardiología ""Ignacio Chavez""",ONCOLOGIA MEDICA
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,ALFONSO DUEÑAS GONZÁLEZ,Nivel 2,"Instituto Nacional De Cardiología ""Ignacio Chavez""",ONCOLOGIA MEDICA
ENSAYO CLÍNICO ALEATORIO SOBRE EL USO DE PROBIÓTICOS EN PACIENTES CON CÁNCER CERVICOUTERINO EN ETAPAS CLÍNICAS IIB SOMETIDAS A QUIMIOTERAPIA Y RADIOTERAPIA CONCOMITANTE,Instituto Nacional de Cancerología,GUADALUPE SERNA THOME,,"Instituto Nacional De Cardiología ""Ignacio Chavez""",Nutriología
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,VICTOR SÁNCHEZ CORDERO,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",ECOLOGIA
ENSAYO CLÍNICO CONTROLADO PARA LA EVALUACIÓN DEL EFECTO NEUROPROTECTOR DE LA DAPSONA DESPUES DE UNA LESIÓN TRAUMÁTICA DE LA MEDULA ESPINAL,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",Hermelinda Salgado Ceballos,Nivel 1,Instituto Mexicano del Seguro Social,NEUROCIENCIAS
ENSAYO CLÍNICO CONTROLADO PARA LA EVALUACIÓN DEL EFECTO NEUROPROTECTOR DE LA DAPSONA DESPUES DE UNA LESIÓN TRAUMÁTICA DE LA MEDULA ESPINAL,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez"" ""Manuel Velasco Suárez""",LUIS CAMILO RIOS CASTAÑEDA,Nivel 3,"Instituto Nacional de Neurología y Neurocirugía ""Manuel Velasco Suárez""",NEUROQUÍMICA
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,CARLOS NAPOLEON IBARRA CERDEÑA,Nivel 2,"Universidad Nacional Autónoma De México, UNAM",ECOLOGIA Y BIOGEOGRAFIA
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Rogelio Francisco Guerrero Zavala,,Instituto Mexicano del Seguro Social - Coordinación de Investigación en Salud,Ing. Sistemas Computacionales
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Leonor Enciso Moreno,,Instituto Mexicano del Seguro Social - Coordinación de Investigación en Salud,BIOLOGÍA MOLECULAR
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Hugo Barrios Flores,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",BIOQUÍMICA microbiana
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Jorge Luis Girón Carrillo,,Instituto Mexicano del Seguro Social - Coordinación de Investigación en Salud,Infectología Pediatrica
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Arnulfo Joel Correa Chacón,,Instituto Mexicano del Seguro Social - Coordinación de Investigación en Salud,Infectologia
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Antonio Luna De La Rosa,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Medicina general
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Salvador Valdovinos Chávez,,Instituto Mexicano Del Seguro Social - Fondo Para El Fomento a la Investigacion Medica,Medicina Interna
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",RICARDO MARTIN CERDA FLORES,Nivel 1,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Genética Humana
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",José Antonio Enciso Moreno,Nivel 1,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Inmunología y Epidemiología Molecular
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Yelda Aurora Leal Herrera,,Instituto Mexicano del Seguro Social - Coordinación de Investigación en Salud,Microbiología
ANÁLISIS DE LA IMPORTANCIA EPIDEMIOLÓGICA COMPARATIVA DE LOS TRES GENOTIPOS DE TRIATOMA DIMIDIATA EN LA TRANSMISIÓN DE LA ENFERMEDAD DE CHAGAS EN EL SUR DE MÉXICO.,Instituto Nacional De Salud Pública,TERESA LÓPEZ ORDOÑEZ,,Instituto Nacional De Salúd Pública,BIOLOGÍA MOLECULAR
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Leticia Navarro Marmolejo,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Microbiología Médica
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Pola Becerril Montes,,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",Microbiología Médica
Epidemiología molecular de la Tuberculosis Pulmonar en el Área Metropolitana de Monterrey.,"Instituto Mexicano del Seguro Social - Fondo Para El Fomento A La Investigación Médica, (FOFOI)",SUSANA GODINA GONZÁLEZ,,Instituto Mexicano del Seguro Social - Coordinación de Investigación en Salud,Microbiologia
